id_job,id_array_job,id_array_task,id_user,kill_requid,nodes_alloc,nodelist,cpus_req,derived_ec,exit_code,gres_used,array_max_tasks,array_task_pending,constraints,flags,mem_req,partition,priority,state,timelimit,time_submit,time_eligible,time_start,time_end,time_suspended,track_steps,tres_alloc,tres_req,job_type
4060131538988,68310107022024,92,35641492241793,61026541062099,1,['r3824475-n680758'],1,0,0,,0,0,\N,4,1000,xeon-p8,10434,3,25,1631124776,1631124777,1631124777,1631125132,0,0,"1=1,2=1000,4=1,5=1","1=1,2=1000,4=1,5=1",OTHER
52567948337443,16618712154521,4294967294,30756960474747,61026541062099,1,['r9113711-n680758'],1,0,0,,0,0,\N,8,9223372036854779808,xeon-p8,10037,3,525600,1627256887,1627256887,1627256889,1627265352,0,0,"1=1,2=4000,4=1,5=1","1=1,2=4000,4=1,5=1",OTHER
73517417706611,16618712154521,4294967294,49460279984859,61026541062099,1,['r3226521-n386398'],6,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10281,3,4294967295,1617545071,1617545071,1617545071,1617612864,0,0,"1=6,2=51000,4=1,5=6,1002=1","1=6,2=51000,4=1,5=6,1002=1",LLSUB:BATCH
53248536049001,64709900933132,2580,45487591934198,61026541062099,1,['r6760045-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10770,3,4294967295,1615932095,1615932096,1615934621,1615935118,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",LLSUB:BATCH
27833913836153,16618712154521,4294967294,5577359963038,61026541062099,1,['r1416152-n691735'],16,0,0,,0,0,\N,8,9223372036854779608,xeon-p8,10029,3,4300,1632941725,1632941725,1632941752,1632943168,0,0,"1=16,2=60800,4=1,5=16","1=16,2=60800,4=1,5=16",OTHER
77178706134680,16618712154521,4294967294,63872107965991,61026541062099,1,['r1457839-n386398'],1,0,0,,0,0,\N,4,8192,normal,10358,3,5760,1631834855,1631834855,1631933546,1631966661,0,0,"1=1,2=8192,4=1,5=1,1002=1","1=1,2=8192,4=1,5=1,1002=1",OTHER
19702866576333,42318120682313,40,87110995014675,87110995014675,1,['r9189566-n976057'],1,0,0,,0,0,xeon-g6,4,20480,normal,10252,4,4294967295,1609894263,1609894268,1609894269,1609895234,0,0,"1=1,2=20480,3=18446744073709551614,4=1,5=1","1=1,2=20480,4=1,5=1",LLSUB:BATCH
81116159846386,68138352947635,3129,42770088536256,61026541062099,1,['r9189566-n685852'],20,0,0,,0,0,xeon-g6,8,9223372036854784308,normal,10158,3,525600,1612649672,1612649672,1612808756,1612809505,0,0,"1=20,2=170000,4=1,5=20","1=20,2=170000,4=1,5=20",OTHER
87131555642656,16618712154521,4294967294,17516127403324,61026541062099,1,['r9757054-n680758'],10,0,0,,0,0,\N,4,9223372036854779808,xeon-p8,10175,3,4320,1621000028,1621000028,1621000037,1621001514,0,0,"1=10,2=40000,4=1,5=10","1=10,2=40000,4=1,5=10",LLSUB:BATCH
76834788436692,16618712154521,4294967294,58948240221066,58948240221066,1,['r9352821-n976057'],4,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,110541,4,720,1627562977,1627562977,1627562977,1627604891,0,0,"1=4,2=34000,4=1,5=4,1002=1","1=4,2=34000,4=1,5=4,1002=1",OTHER
68458391301319,41474515615159,91,5042570016904,61026541062099,1,['r7217787-n325382'],12,0,0,,0,0,\N,8,9223372036854779808,xeon-p8,10097,3,525600,1633012199,1633012199,1633012229,1633012743,0,0,"1=12,2=48000,4=1,5=12","1=12,2=48000,4=1,5=12",LLMAPREDUCE:MAP
50996920376924,16618712154521,4294967294,5577359963038,61026541062099,1,['r4357125-n691735'],8,0,0,,0,0,\N,4,9223372036854777708,xeon-p8,10010,3,4300,1631665198,1631665198,1631665327,1631666490,0,0,"1=8,2=15200,4=1,5=8","1=8,2=15200,4=1,5=8",OTHER
1059386683737,45398838483729,17,53270659500720,61026541062099,1,['r629115-n43543'],20,0,0,,0,0,\N,4,9223372036854784308,normal,10217,3,4294967295,1630300593,1630300593,1630301496,1630302801,0,0,"1=20,2=170000,4=1,5=20,1002=1","1=20,2=170000,4=1,5=20,1002=1",OTHER
88243887523243,23550781455357,17,87110995014675,61026541062099,1,['r9720335-n386398'],10,0,253,,0,0,xeon-g6,4,9216,normal,10324,11,4294967295,1612385761,1612385762,1612385762,1612386141,0,0,"1=10,2=9216,4=1,5=10","1=10,2=9216,4=1,5=10",LLSUB:BATCH
27738554102585,16618712154521,4294967294,66398428513342,61026541062099,1,['r5130449-n136082'],4,0,0,,0,0,\N,4,9223372036854784308,normal,10280,3,4294967295,1629938879,1629938879,1629944582,1629949699,0,0,"1=4,2=34000,4=1,5=4,1002=1","1=4,2=34000,4=1,5=4,1002=1",OTHER
24355890495002,66967609240230,2510,42230631696550,61026541062099,1,['r9175025-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10103,3,4294967295,1616103226,1616103227,1616207713,1616211637,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",LLSUB:BATCH
30136603361046,64709900933132,16997,45487591934198,61026541062099,1,['r1457839-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10589,3,4294967295,1615932095,1615932096,1615948613,1615948961,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",LLSUB:BATCH
28350589851439,28350589851439,2,30029731637658,61026541062099,1,['r9189566-n976057'],8,0,0,,0,0,\N,8,9223372036854784308,normal,10278,3,4294967295,1631653222,1631653227,1631653227,1631665069,0,0,"1=8,2=68000,4=1,5=8,1002=1","1=8,2=68000,4=1,5=8,1002=1",OTHER
68340467812570,51512426886644,42,53270659500720,61026541062099,1,['r8642123-n851693'],10,0,0,,0,0,\N,4,9223372036854784308,normal,10483,3,4294967295,1629934569,1629934570,1629938857,1629940965,0,0,"1=10,2=85000,4=1,5=10,1002=1","1=10,2=85000,4=1,5=10,1002=1",OTHER
89545448980725,45707777062245,350,5042570016904,5042570016904,1,['r3475376-n134943'],2,0,0,,0,0,\N,8,9223372036854779808,xeon-p8,10266,4,4294967295,1630009647,1630009653,1630009657,1630010343,0,0,"1=2,2=8000,3=18446744073709551614,4=1,5=2","1=2,2=8000,4=1,5=2",LLMAPREDUCE:MAP
81431278216797,16618712154521,4294967294,6060077677441,61026541062099,1,['r2100214-n386398'],1,0,0,,0,0,\N,4,9223372036854784308,normal,10698,3,4294967295,1631540988,1631583280,1631583280,1631585036,0,0,"1=1,2=8500,4=1,5=1,1002=1","1=1,2=8500,4=1,5=1,1002=1",OTHER
43204864491196,16618712154521,4294967294,5577359963038,61026541062099,1,['r9352821-n598065'],4,0,0,,0,0,\N,4,9223372036854779608,xeon-p8,10041,3,4300,1619635327,1619635327,1619635920,1619639574,0,0,"1=4,2=15200,4=1,5=4","1=4,2=15200,4=1,5=4",OTHER
22086324582114,32716616865493,20251,45487591934198,61026541062099,1,['r6760045-n386398'],1,0,0,,0,0,xeon-g6,4,9223372036854784308,normal,10461,3,4294967295,1615952800,1615952800,1615970920,1615971316,0,0,"1=1,2=8500,4=1,5=1","1=1,2=8500,4=1,5=1",LLSUB:BATCH
