Node,Time,UserPIDCount,FSlatency,LoadAvg,MemoryFreeInactiveKB,LustreRPCTotals
r8642123-n851693,1621132201.0,2292481130222:17|,0.0,3.25,382.0,1898.0
r1682297-n920226,1629444601.0,,0.0,0.0,190.0,221.0
r3581284-n392209,1622128501.0,,0.0,0.0,190.0,221.0
r8937440-n830961,1622057101.0,27638269555763:104|,0.0,19.07,381.0,309.0
r8062914-n442913,1617284773.0,74955911310996:5|7:2|,0.0,47.22,48.0,1971.0
r697496-n325382,1617284772.0,74955911310996:5|7:2|,0.0,43.94,49.0,1932.0
r8607415-n911952,1621940701.0,,0.0,0.08,388.0,221.0
r8579942-n208530,1616155501.0,37416557891891:11|7:4|,0.0,56.91,386.0,267.0
r9541411-n172998,1620292501.0,,0.0,0.0,128.0,221.0
r6272977-n976057,1630144201.0,85683288662927:26|,0.0,10.92,364.0,241.0
r5573787-n181711,1630833301.0,,0.0,0.0,190.0,221.0
r6760045-n392209,1625103002.0,,0.0,0.0,191.0,221.0
r3226521-n976057,1627483802.0,90260633754108:16|7:2|91023534946533:7|,0.0,5.16,380.0,386.0
r9102715-n146651,1632631501.0,6965056279387:52|,0.0,48.0,182.0,229.0
r8937440-n680758,1628396401.0,,0.0,0.0,191.0,221.0
r1485405-n598065,1632311701.0,10985746253655:39|5577359963038:15|,0.0,12.43,186.0,328.0
r9192091-n976057,1626374702.0,7:2|,0.0,0.04,393.0,260.0
r4229531-n680758,1632351601.0,75345149019925:48|,0.0,44.11,186.0,229.0
r189256-n181711,1629019501.0,,0.0,0.0,191.0,221.0
r6272977-n181711,1618948501.0,,0.0,0.0,191.0,221.0
r1485405-n920226,1627925402.0,,0.0,0.0,190.0,221.0
r1081020-n598065,1619859001.0,57242915179057:84|37299602981324:20|,0.0,49.21,180.0,8267.0
r9192091-n386398,1620039601.0,,0.0,0.0,391.0,221.0
r3254677-n181711,1624090201.0,,0.0,0.0,190.0,221.0
