id_job,idle_energy_J,total_energy_J,idle_duration_sec,total_duration_sec,idle_pct_energy,idle_duration_min,total_duration_min
70053314562,1328.0184278350516,8020975.205969527,3,3898,0.01655682000920147,0.5,649.6666666666666
531177744168,2940.841054894394,7550285.899726674,6,3910,0.038950062208913894,1.0,651.6666666666666
611401690860,1329.3762505259838,15877128.119934037,3,7026,0.00837290119777346,0.5,1171.0
772032503727,3157.6433350422967,7713671.463813546,6,3572,0.04093567310787691,1.0,595.3333333333334
1173416277102,19613.598927892086,3950320.3489183597,49,1840,0.49650654112805054,8.166666666666666,306.6666666666667
2063739185347,1543.533819172888,4101109.931122411,3,2017,0.03763697743041104,0.5,336.1666666666667
2222822427142,98614.64407298632,7110878.952080012,226,3498,1.3868137080879492,37.666666666666664,583.0
2599719448057,5622.29776816573,3858760.46782178,12,1804,0.14570217081495718,2.0,300.6666666666667
2759986725115,2157.124914089347,7491374.832268677,4,3478,0.02879478016234954,0.6666666666666666,579.6666666666666
3124731017640,1931.0334979954182,3762516.8154567583,4,1768,0.05132292007473717,0.6666666666666666,294.6666666666667
3412131683628,8543.52651202749,15515593.55958763,22,7809,0.05506412938194134,3.6666666666666665,1301.5
3419101415399,19511.93132073694,7893378.547873014,50,3646,0.24719365988084682,8.333333333333334,607.6666666666666
4245408558597,329144.699970037,5925712.595933195,960,5144,5.5545167714669175,160.0,857.3333333333334
4479761871984,5496.798412454893,4008442.41964781,10,2000,0.13713053193708724,1.6666666666666667,333.3333333333333
5275403476309,6755.753714226429,4112168.662398738,12,2044,0.1642868828800815,2.0,340.6666666666667
5650105580220,2254.432857833656,4019696.9260049746,6,1994,0.056084647657112095,1.0,332.3333333333333
5753211269774,8098.925865934569,7672866.559793017,16,3636,0.10555280484576869,2.6666666666666665,606.0
5892990661811,93103.65200926561,7228587.525825139,219,3518,1.2879923176781054,36.5,586.3333333333334
6109602899976,4704.405805365096,15604676.44449149,11,7178,0.030147410118367236,1.8333333333333333,1196.3333333333333
6767042244938,1402.3336016834626,7978947.213423419,3,3544,0.017575421470695286,0.5,590.6666666666666
6816757623173,3711.2457904369708,8292662.851622626,8,4010,0.044753366401611164,1.3333333333333333,668.3333333333334
7614866123849,8000.526508724352,7746094.827348507,16,3636,0.10328464454730847,2.6666666666666665,606.0
8332818674743,14625.319601452084,15876605.352985939,29,7811,0.09211868202481632,4.833333333333333,1301.8333333333333
8986675716108,6702.507337097814,3789535.3999239528,16,1820,0.17686884089359128,2.6666666666666665,303.3333333333333
9042613205291,134555.60259700211,6242148.374071399,298,7058,2.15559763295468,49.666666666666664,1176.3333333333333
9347110911747,4338.782276629499,8246839.934833047,12,4096,0.05261145251896217,2.0,682.6666666666666
9363816195518,4688.153019903912,8204956.710384991,11,4100,0.05713805916818707,1.8333333333333333,683.3333333333334
9454414355533,2325.0890244146085,7726795.541882758,4,3540,0.030091245611606584,0.6666666666666666,590.0
9588192115571,8273.485298200398,15236693.728250282,23,7819,0.05429974143839728,3.8333333333333335,1303.1666666666667
9729018528767,5010.595290149633,8237560.205269021,12,4100,0.06082620539689272,2.0,683.3333333333334
9772653250751,4901.423751227295,15860316.49685311,9,7809,0.030903694464103536,1.5,1301.5
9976590120891,57408.35704776107,11693001.655068409,228,29060,0.49096338768477843,38.0,4843.333333333333
10217518336509,8673.768864460622,17663151.65328608,16,10156,0.0491065752857698,2.6666666666666665,1692.6666666666667
10297115157410,3526.3849902718816,15248022.49844657,7,7058,0.02312683491010812,1.1666666666666667,1176.3333333333333
10612452483078,8226.636582412293,7609171.909780589,15,3594,0.10811474205015706,2.5,599.0
