timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current,clocks_current_sm_MHz,clocks_current_memory_MHz,clocks_current_video_MHz,power_limit_W
1630805616.372,0,95,41,11781,20729,58,57,138.91,16,,,,
1624968290.881,1,89,31,1377,31133,69,67,126.45,16,,,,
1629165593.957,1,82,32,30193,2317,50,50,137.3,16,,,,
1624964223.24,1,87,30,1377,31133,68,67,122.98,16,,,,
1624967170.537,0,89,32,1509,31001,67,67,143.29,16,,,,
1632547139.837,1,15,7,1801,30709,56,58,191.65,16,1380.0,877.0,1237.0,250.0
1632546487.307,1,5,3,1801,30709,57,58,191.85,16,1380.0,877.0,1237.0,250.0
1630805994.887,0,94,45,11781,20729,53,52,145.38,16,,,,
1630620884.115,0,0,0,2749,29761,30,32,39.35,16,,,,
1630621014.768,0,0,0,2749,29761,30,31,37.97,16,,,,
1630620833.521,0,5,4,2749,29761,30,31,48.04,16,,,,
1632547141.12,1,71,44,1801,30709,56,58,181.25,16,1380.0,877.0,1237.0,250.0
1629164850.2,1,82,32,30193,2317,50,50,139.38,16,,,,
1632547900.354,1,97,62,1801,30709,57,59,191.66,16,1380.0,877.0,1237.0,250.0
1630808388.651,0,76,53,11781,20729,54,56,47.59,16,,,,
1630621492.678,0,10,6,2749,29761,30,31,37.8,16,,,,
1629165348.391,1,82,32,30193,2317,51,51,120.0,16,,,,
1629164841.4,1,82,32,30193,2317,50,49,134.66,16,,,,
1630621598.318,0,9,5,2749,29761,30,32,37.95,16,,,,
1632546345.311,0,0,0,32053,457,41,37,44.14,16,1380.0,877.0,1237.0,250.0
1624969461.39,0,86,31,1509,31001,66,67,125.96,16,,,,
1630799721.811,0,11,4,11781,20729,56,55,57.31,16,,,,
1632547742.88,1,18,8,1801,30709,55,53,138.32,16,1380.0,877.0,1237.0,250.0
1624967684.037,1,87,31,1377,31133,69,67,130.97,16,,,,
1629164806.439,0,0,0,32506,4,35,34,27.24,16,,,,
1630621381.277,0,10,6,2749,29761,30,31,38.04,16,,,,
1624972828.394,1,0,0,1377,31133,49,46,46.88,16,,,,
1630800788.511,0,95,41,11781,20729,59,59,196.63,16,,,,
1630620806.049,0,11,6,2749,29761,31,32,43.99,16,,,,
1629165018.193,0,0,0,32506,4,35,35,27.24,16,,,,
1630621009.181,0,10,6,2749,29761,30,32,38.08,16,,,,
1624966953.208,1,88,31,1377,31133,68,67,119.75,16,,,,
1630804342.087,0,18,4,11781,20729,56,55,57.86,16,,,,
1632546899.887,1,55,33,1801,30709,56,56,50.42,16,1380.0,877.0,1237.0,250.0
1630795327.855,0,12,4,11781,20729,56,55,62.67,16,,,,
1630621418.646,0,5,2,2749,29761,30,31,37.85,16,,,,
1629164979.557,0,0,0,32506,4,35,35,27.34,16,,,,
1629165837.075,1,83,32,30193,2317,50,50,139.41,16,,,,
1632547409.343,0,0,0,32053,457,41,36,44.21,16,1380.0,877.0,1237.0,250.0
1630621708.57,0,10,6,2749,29761,30,31,48.95,16,,,,
1624973417.539,0,88,32,1509,31001,64,64,112.01,16,,,,
1632547816.198,0,0,0,32053,457,41,36,44.01,16,1380.0,877.0,1237.0,250.0
1630621566.646,0,10,6,2749,29761,30,32,38.28,16,,,,
1630795310.568,0,94,44,11781,20729,58,58,135.5,16,,,,
1632547458.882,1,97,61,1801,30709,56,58,74.59,16,1380.0,877.0,1237.0,250.0
1630621418.022,0,10,6,2749,29761,30,32,38.62,16,,,,
1630807988.823,0,15,5,11781,20729,54,53,62.29,16,,,,
1632546894.967,1,96,61,1801,30709,58,61,193.74,16,1380.0,877.0,1237.0,250.0
1629165344.281,0,0,0,32506,4,36,35,27.36,16,,,,
1630621131.885,0,10,6,2749,29761,30,31,37.88,16,,,,
1632545999.402,0,0,0,32053,457,41,36,44.15,16,1380.0,877.0,1237.0,250.0
1630621462.692,0,10,6,2749,29761,30,31,37.85,16,,,,
1630621031.22,0,10,6,2749,29761,30,31,39.07,16,,,,
1632545833.064,1,93,57,1801,30709,56,59,185.97,16,1380.0,877.0,1237.0,250.0
1630620865.088,0,10,6,2749,29761,30,32,38.04,16,,,,
1629164795.882,1,82,32,30193,2317,50,49,121.68,16,,,,
1630621455.976,0,3,1,2749,29761,30,31,42.74,16,,,,
1629165047.185,0,0,0,32506,4,35,35,27.34,16,,,,
1632548004.312,0,0,0,32053,457,41,36,44.02,16,1380.0,877.0,1237.0,250.0
1630801159.072,0,97,46,11781,20729,59,58,160.58,16,,,,
1624963501.975,0,87,31,1509,31001,66,66,141.62,16,,,,
1630805741.741,0,15,5,11781,20729,54,53,59.12,16,,,,
1624963797.675,0,87,31,1509,31001,66,66,114.23,16,,,,
1624971026.354,1,88,31,1377,31133,68,67,132.47,16,,,,
1624971781.448,0,87,30,1509,31001,66,66,117.38,16,,,,
1629165387.748,0,0,0,32506,4,36,35,27.34,16,,,,
1624968496.529,1,0,0,1377,31133,65,62,64.77,16,,,,
1629164920.469,1,82,31,30193,2317,51,50,136.6,16,,,,
1629165189.402,1,82,32,30193,2317,51,50,120.35,16,,,,
1630794776.104,0,97,46,11781,20729,59,58,140.82,16,,,,
1629164998.188,1,82,31,30193,2317,51,50,127.97,16,,,,
1624965826.721,1,87,31,1377,31133,69,68,104.58,16,,,,
1624970574.754,0,89,32,1509,31001,63,64,137.72,16,,,,
1624964511.814,1,89,31,1377,31133,67,66,128.38,16,,,,
1630807414.489,0,95,45,11781,20729,58,57,192.73,16,,,,
1624971934.11,0,88,31,1509,31001,66,66,139.31,16,,,,
1629165024.377,1,81,32,30193,2317,51,50,131.51,16,,,,
1632546706.058,0,0,0,32053,457,41,37,44.21,16,1380.0,877.0,1237.0,250.0
1630801458.548,0,94,46,11781,20729,58,58,150.96,16,,,,
1624971650.136,1,88,31,1377,31133,67,66,118.98,16,,,,
1629165070.332,1,82,31,30193,2317,51,50,137.27,16,,,,
1630803012.717,0,13,4,11781,20729,55,54,61.23,16,,,,
1632546944.771,1,24,15,1801,30709,57,59,192.19,16,1380.0,877.0,1237.0,250.0
1632546502.388,0,0,0,32053,457,41,37,44.42,16,1380.0,877.0,1237.0,250.0
1630620950.735,0,10,6,2749,29761,30,31,38.45,16,,,,
1624962591.552,0,86,30,1509,31001,52,52,144.12,16,,,,
1632545909.536,0,0,0,32053,457,41,36,44.21,16,1380.0,877.0,1237.0,250.0
1630621064.634,0,10,6,2749,29761,30,31,37.9,16,,,,
1632545676.154,0,0,0,32053,457,40,35,43.69,16,1380.0,877.0,1237.0,250.0
1630808829.172,0,96,42,11781,20729,57,57,151.9,16,,,,
1630795971.537,0,94,44,11781,20729,59,59,188.04,16,,,,
1629165731.832,0,0,0,32506,4,35,34,27.24,16,,,,
1630806243.568,0,96,42,11781,20729,57,56,207.83,16,,,,
1630800358.903,0,10,3,11781,20729,54,54,57.71,16,,,,
1632545969.53,0,0,0,32053,457,41,36,44.21,16,1380.0,877.0,1237.0,250.0
1629165804.084,1,83,32,30193,2317,51,50,137.4,16,,,,
1629165195.968,0,0,0,32506,4,35,35,27.35,16,,,,
1630621287.446,0,10,6,2749,29761,30,31,38.15,16,,,,
1630803601.785,0,8,1,11781,20729,55,54,62.97,16,,,,
1624963255.398,0,86,31,1509,31001,65,66,110.69,16,,,,
