timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1620524300.049,0,96,64,1431,31079,68,72,269.32,16
1614741518.228,1,26,1,1439,31071,35,32,41.69,16
1625169984.262,1,90,11,29491,3019,36,35,52.81,16
1614741242.331,1,26,1,1439,31071,35,33,41.57,16
1614736716.808,1,26,1,1439,31071,35,33,40.58,16
1623415156.074,1,100,31,1409,31101,67,71,205.28,16
1623414445.927,1,100,32,1409,31101,69,67,165.8,16
1620532884.995,0,100,47,1431,31079,69,74,213.56,16
1623244722.834,1,91,32,1439,31071,64,66,212.75,16
1623246264.254,1,98,56,1439,31071,66,66,245.87,16
1623246629.669,0,99,59,1439,31071,68,70,183.69,16
1623416245.806,0,99,41,1409,31101,69,70,235.62,16
1625169773.024,1,81,11,29491,3019,35,35,76.94,16
1623415179.31,0,100,35,1409,31101,70,70,257.13,16
1620520529.269,1,100,57,1431,31079,64,68,165.46,16
1623245643.924,1,99,59,1439,31071,65,68,142.76,16
1625172281.784,0,76,4,30655,1855,39,37,54.84,16
1625168752.077,0,66,3,30655,1855,38,36,46.26,16
1623244753.803,1,99,59,1439,31071,67,68,145.93,16
1623417203.688,1,100,31,1409,31101,68,68,158.09,16
1614739770.872,1,10,1,1439,31071,35,32,38.63,16
1620523833.954,1,100,50,1431,31079,67,69,235.2,16
1623415624.386,0,100,36,1409,31101,70,70,223.68,16
1614740778.215,1,27,1,1439,31071,35,32,41.65,16
1625168326.199,0,63,4,30655,1855,38,36,45.69,16
1623246714.335,0,0,0,1439,31071,50,49,47.35,16
1614737604.015,1,29,1,1439,31071,35,32,41.4,16
1620532686.547,0,100,57,1431,31079,72,76,240.13,16
1623245421.608,1,41,16,1439,31071,67,65,237.22,16
1625172968.061,0,83,5,30655,1855,38,37,47.79,16
1623247678.925,0,17,9,1439,31071,65,66,216.31,16
1614742556.661,1,2,0,1439,31071,35,33,38.96,16
1620528811.61,1,88,41,1431,31079,66,70,226.73,16
1623414427.864,1,100,24,1409,31101,69,69,162.68,16
1620531047.582,1,100,39,1431,31079,65,69,132.86,16
1623247784.33,1,100,46,1439,31071,65,66,54.01,16
1625174740.036,1,90,11,29491,3019,35,34,48.04,16
1625170215.468,1,89,11,29491,3019,36,35,73.01,16
1623415458.053,0,99,36,1409,31101,69,70,270.55,16
1623242034.207,0,81,2,1439,31071,64,65,55.22,16
1614738674.13,1,27,1,1439,31071,35,32,41.21,16
1623416982.808,1,100,58,1409,31101,69,73,212.13,16
1623247375.988,0,67,48,1439,31071,70,72,233.58,16
1620522678.285,1,95,44,1431,31079,66,68,196.25,16
1623416750.113,1,100,24,1409,31101,68,66,213.17,16
1623242388.535,0,52,39,1439,31071,67,68,161.82,16
1620523446.033,1,100,47,1431,31079,68,69,191.99,16
1623415852.111,0,99,28,1409,31101,70,69,215.04,16
1625172820.184,0,84,5,30655,1855,38,37,47.23,16
1623243514.865,1,99,44,1439,31071,66,68,169.98,16
1623416615.439,0,99,56,1409,31101,70,70,224.63,16
1623245637.607,0,98,46,1439,31071,66,71,140.34,16
1623245383.758,1,100,46,1439,31071,65,69,176.97,16
1623416480.554,1,100,45,1409,31101,69,70,263.46,16
1623246391.406,0,99,57,1439,31071,69,71,227.48,16
1625170205.821,0,74,4,30655,1855,38,36,47.51,16
1623244029.514,0,99,60,1439,31071,69,72,187.88,16
1625169702.278,0,83,5,30655,1855,38,36,96.96,16
1623415155.434,1,98,55,1409,31101,69,68,226.68,16
1620527220.074,1,98,58,1431,31079,66,71,166.85,16
1614735939.033,1,0,0,1439,31071,35,32,39.4,16
1620520555.677,0,100,62,1431,31079,70,72,255.37,16
1614735940.684,1,13,1,1439,31071,35,32,38.84,16
1614736698.545,1,27,1,1439,31071,35,32,42.71,16
1614741860.656,1,28,1,1439,31071,35,33,43.02,16
1625173278.19,0,76,4,30655,1855,38,36,79.86,16
1614741922.383,1,0,0,1439,31071,35,33,39.74,16
1625169019.573,0,77,4,30655,1855,38,36,45.83,16
1625175307.902,1,40,8,29491,3019,35,35,85.47,16
1620527055.583,1,100,56,1431,31079,64,70,102.15,16
1625173561.259,0,68,4,30655,1855,38,37,84.48,16
1614736610.38,1,26,1,1439,31071,35,32,42.36,16
1614743303.468,1,27,1,1439,31071,35,33,42.25,16
1614735551.19,1,28,1,1439,31071,35,32,41.84,16
1620529371.544,1,88,37,1431,31079,66,70,185.11,16
1614739327.28,1,24,1,1439,31071,35,32,40.75,16
1625174052.854,0,84,6,30655,1855,38,36,46.72,16
1623412918.384,0,100,49,1409,31101,63,64,148.48,16
1620521376.824,0,100,34,1431,31079,70,75,201.55,16
1614739988.516,1,25,1,1439,31071,35,32,38.99,16
1625173036.22,0,83,5,30655,1855,38,37,97.55,16
1620523137.764,0,100,49,1431,31079,69,73,243.35,16
1623416360.588,0,32,21,1409,31101,66,68,54.67,16
1623414104.307,1,100,35,1409,31101,68,69,156.58,16
1623241425.877,1,99,56,1439,31071,70,71,160.08,16
1614743449.491,1,28,1,1439,31071,35,33,42.4,16
1623414019.089,0,100,31,1409,31101,70,70,249.27,16
1623241782.99,0,100,46,1439,31071,69,73,220.73,16
1623417560.198,1,0,0,1409,31101,63,62,60.95,16
1620526987.744,0,85,36,1431,31079,69,72,215.23,16
1620519255.529,0,100,43,1431,31079,50,52,53.96,16
1625175703.035,1,81,15,29491,3019,35,35,63.23,16
1620528955.655,1,100,56,1431,31079,68,72,241.85,16
1620532184.148,0,81,55,1431,31079,69,71,218.48,16
1623416622.007,1,98,56,1409,31101,68,70,196.67,16
1625169372.138,1,89,11,29491,3019,36,35,78.33,16
1625168670.696,1,89,11,29491,3019,35,34,68.22,16
1623246105.343,1,99,58,1439,31071,65,69,182.83,16
1620528104.082,1,93,58,1431,31079,65,70,197.68,16
1614735730.448,1,26,1,1439,31071,35,33,41.09,16
