timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1628642969.199,1,100,1,20679,11831,38,37,48.84,16
1613469571.281,0,0,0,32510,0,39,39,26.75,16
1628643101.864,0,94,12,20679,11831,45,42,94.07,16
1613469763.484,0,0,0,32510,0,38,37,26.38,16
1613469745.197,0,0,0,32510,0,38,37,26.55,16
1628642629.872,1,100,27,20669,11841,42,42,39.47,16
1628644414.223,0,100,1,20669,11841,43,43,47.88,16
1628644402.193,0,100,1,20669,11841,42,40,44.76,16
1626590418.24,0,97,91,19123,13387,42,53,158.3,16
1626588881.542,0,0,0,31351,1159,29,27,35.6,16
1626588763.891,0,0,0,31351,1159,29,27,35.56,16
1628642699.748,1,100,23,20669,11841,42,43,101.96,16
1628643253.446,1,100,3,20669,11841,39,39,44.62,16
1628644543.569,0,100,23,20669,11841,45,45,103.99,16
1628644591.996,0,100,18,20669,11841,42,40,44.08,16
1626589522.218,0,0,0,31351,1159,29,27,35.85,16
1628643699.971,0,100,1,20679,11831,44,40,46.53,16
1628645351.269,1,100,36,20669,11841,39,40,39.61,16
1626590660.681,0,55,36,8819,23691,42,52,146.65,16
1628643781.91,0,100,21,20669,11841,44,45,100.42,16
1613469562.963,0,0,0,32510,0,40,39,26.84,16
1628645005.47,1,100,1,20679,11831,40,38,47.68,16
1628645365.418,0,100,10,20669,11841,41,41,45.98,16
1613469689.536,0,0,0,32510,0,38,37,26.55,16
1628643446.005,1,100,23,20669,11841,40,41,92.0,16
1626589904.868,0,34,25,19115,13395,39,48,44.32,16
1613469495.061,0,0,0,32510,0,42,42,27.27,16
1628643023.912,0,100,25,20669,11841,41,39,39.18,16
1626589005.161,0,0,0,31351,1159,29,27,35.68,16
1628643612.122,0,100,1,20679,11831,44,40,46.72,16
1626589195.24,0,0,0,31351,1159,29,27,35.88,16
1613469565.806,0,0,0,32510,0,40,39,26.77,16
1628643110.237,1,100,34,20679,11831,39,39,40.55,16
1628643851.359,0,100,1,20669,11841,43,43,47.02,16
1628643103.523,1,100,34,20679,11831,39,38,43.83,16
1626590485.875,0,66,62,8819,23691,42,52,146.24,16
1628645420.239,1,100,1,20669,11841,39,39,45.86,16
1628643635.238,1,100,29,20669,11841,40,41,46.84,16
1628643395.9,0,100,24,20669,11841,44,45,102.57,16
1626589418.816,0,0,0,31351,1159,29,27,35.53,16
1613469592.434,0,0,0,32510,0,39,38,26.74,16
1628643505.217,1,100,9,20669,11841,42,41,46.4,16
1626590158.266,0,59,53,19123,13387,41,48,140.24,16
1628643994.716,0,94,23,20669,11841,43,42,95.77,16
1628643129.952,1,100,25,20669,11841,43,43,105.42,16
1626589743.922,0,0,0,31351,1159,30,28,35.51,16
1628643555.116,1,95,6,20679,11831,40,40,99.79,16
1628643936.481,1,100,22,20669,11841,43,44,99.72,16
1628642970.14,0,100,1,20679,11831,43,39,46.41,16
1626589189.435,0,0,0,31351,1159,29,27,35.76,16
1628645312.888,0,100,23,20669,11841,41,41,43.1,16
1626590173.259,0,48,43,19115,13395,41,52,44.35,16
1626589992.361,0,74,64,19123,13387,41,52,154.54,16
1628644350.909,0,100,1,20669,11841,43,43,47.79,16
1626588990.461,0,0,0,31351,1159,29,27,35.36,16
1628642655.197,1,94,17,20669,11841,38,39,103.97,16
1626591086.912,0,91,85,8819,23691,41,54,46.28,16
1628642980.341,0,100,23,20679,11831,45,43,69.01,16
1628644626.831,1,100,27,20669,11841,43,44,40.73,16
1628643863.915,0,100,21,20669,11841,43,42,74.22,16
1613469671.807,0,0,0,32510,0,38,37,26.47,16
1628643509.301,0,100,27,20669,11841,42,42,99.79,16
1613469697.616,0,0,0,32510,0,38,37,26.5,16
1613469600.543,0,0,0,32510,0,39,38,26.74,16
