timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current,clocks_current_sm_MHz,clocks_current_memory_MHz,clocks_current_video_MHz,power_limit_W
1629153625.13,0,16,1,31261,1249,35,33,38.9,16,,,,
1630314969.972,0,37,2,29347,3163,35,35,46.12,16,,,,
1631806482.94,0,0,0,1133,31377,38,36,39.42,16,,,,
1630315105.977,0,74,4,29347,3163,36,36,48.46,16,,,,
1630313982.15,0,24,1,31149,1361,35,35,40.02,16,,,,
1632285872.247,0,0,0,28417,4093,32,31,38.02,16,1230.0,877.0,1110.0,250.0
1632287077.672,0,1,0,28426,4084,33,31,38.33,16,1230.0,877.0,1110.0,250.0
1629154440.594,0,19,1,31261,1249,34,32,38.99,16,,,,
1627656213.071,1,97,24,27129,5381,49,48,211.71,16,,,,
1627656402.285,1,97,17,27129,5381,47,47,211.31,16,,,,
1627655860.387,1,99,26,27379,5131,44,44,55.55,16,,,,
1632285971.227,1,0,0,32510,0,31,27,26.14,16,135.0,877.0,555.0,250.0
1631806484.319,0,0,0,1133,31377,38,36,39.32,16,,,,
1632286818.333,0,0,0,28417,4093,33,31,38.13,16,1230.0,877.0,1110.0,250.0
1629153041.959,0,18,1,31261,1249,34,33,47.59,16,,,,
1627656137.097,1,99,22,27129,5381,49,48,104.96,16,,,,
1631806430.421,0,0,0,1133,31377,39,37,39.7,16,,,,
1631806417.946,0,0,0,1133,31377,39,38,39.79,16,,,,
1627656294.823,1,99,16,27129,5381,48,47,192.64,16,,,,
1632286871.947,0,0,0,28426,4084,33,31,38.26,16,1230.0,877.0,1110.0,250.0
1630313951.367,0,20,1,31149,1361,36,36,45.99,16,,,,
1629151365.813,0,0,0,32506,4,31,30,26.81,16,,,,
1632286668.932,0,0,0,28426,4084,33,31,38.29,16,1230.0,877.0,1110.0,250.0
1630314762.443,0,73,4,29347,3163,36,36,52.01,16,,,,
1631806417.306,0,0,0,1133,31377,39,38,39.78,16,,,,
1627656409.548,0,85,7,27931,4579,52,51,81.84,16,,,,
1630314660.302,0,60,3,29347,3163,36,36,46.34,16,,,,
1629154287.441,0,18,1,31261,1249,34,32,44.57,16,,,,
1627655967.285,1,97,16,27149,5361,46,47,54.5,16,,,,
1631806549.663,1,57,45,965,31545,42,38,46.79,16,,,,
1627656459.617,0,86,7,27931,4579,51,50,55.12,16,,,,
1630314743.857,0,75,4,29347,3163,36,36,51.81,16,,,,
1629153655.497,0,19,1,31261,1249,35,33,39.67,16,,,,
1632287039.179,1,0,0,32510,0,32,27,26.23,16,135.0,877.0,555.0,250.0
1629151720.555,0,17,1,31263,1247,34,33,39.57,16,,,,
1627655944.169,1,96,20,27149,5361,48,47,174.23,16,,,,
1631806349.991,1,0,0,32506,4,44,41,28.67,16,,,,
1631806402.902,0,0,0,1133,31377,40,39,39.87,16,,,,
1632285964.665,1,0,0,32510,0,31,27,26.12,16,135.0,877.0,555.0,250.0
1627655958.935,0,100,13,27951,4559,48,48,50.19,16,,,,
1630314043.81,0,0,0,32506,4,33,33,27.23,16,,,,
1632286598.637,1,0,0,32510,0,32,27,26.11,16,135.0,877.0,555.0,250.0
1627656339.355,1,96,16,27129,5381,48,48,57.69,16,,,,
1629152610.38,0,19,1,31261,1249,34,32,43.11,16,,,,
1632286814.821,1,0,0,32510,0,32,27,26.23,16,135.0,877.0,555.0,250.0
1627655931.332,1,99,22,27149,5361,46,45,57.38,16,,,,
1629152108.12,0,15,1,31263,1247,34,33,41.22,16,,,,
1632285808.915,0,0,0,28417,4093,32,30,38.03,16,1230.0,877.0,1110.0,250.0
1631806656.439,0,92,33,965,31545,59,61,208.05,16,,,,
1627656456.622,1,97,23,27129,5381,47,47,64.49,16,,,,
1632286395.57,0,0,0,28426,4084,33,31,38.23,16,1230.0,877.0,1110.0,250.0
1627656174.994,1,96,16,27129,5381,49,47,202.15,16,,,,
1627656425.481,1,99,20,27129,5381,48,47,215.29,16,,,,
1632286307.708,1,0,0,32510,0,31,27,26.2,16,135.0,877.0,555.0,250.0
1627656421.204,0,100,17,27931,4579,50,50,49.09,16,,,,
1631806554.777,0,94,55,965,31545,44,46,47.99,16,,,,
1627656052.991,1,99,19,27129,5381,46,47,54.75,16,,,,
1631806633.847,0,94,44,965,31545,57,57,244.53,16,,,,
1632286024.646,0,0,0,28408,4102,33,31,38.12,16,1230.0,877.0,1110.0,250.0
1629152155.316,0,17,1,31263,1247,34,33,42.86,16,,,,
1630314135.629,0,24,1,30706,1804,34,34,40.62,16,,,,
1629152567.016,0,19,1,31261,1249,34,32,42.92,16,,,,
1630314914.629,0,75,4,29347,3163,35,36,51.04,16,,,,
1630314079.161,0,25,1,30708,1802,34,33,39.86,16,,,,
1630314455.422,0,75,4,29349,3161,36,36,51.52,16,,,,
1631806519.483,0,0,0,1133,31377,37,35,39.22,16,,,,
1630314209.411,0,75,4,29351,3159,35,35,51.54,16,,,,
1631806620.136,0,100,76,965,31545,54,55,227.72,16,,,,
1631806433.819,1,0,0,1131,31379,39,35,39.11,16,,,,
1629151588.471,0,14,1,31263,1247,34,33,46.38,16,,,,
1631806460.48,1,0,0,1131,31379,39,34,38.91,16,,,,
1630314886.05,0,69,4,29347,3163,36,35,51.43,16,,,,
1630314199.18,0,59,3,29355,3155,35,35,48.58,16,,,,
1630314541.844,0,74,4,29349,3161,36,36,51.23,16,,,,
1629152651.197,0,19,1,31261,1249,34,32,41.6,16,,,,
1630314164.992,0,24,1,30706,1804,34,34,40.11,16,,,,
1631806459.625,0,0,0,1133,31377,38,36,39.5,16,,,,
1632286718.759,1,0,0,32510,0,32,27,26.33,16,135.0,877.0,555.0,250.0
1629152247.717,0,18,1,31263,1247,34,33,42.39,16,,,,
1630314286.374,0,71,4,29349,3161,36,35,52.19,16,,,,
1631806682.267,1,82,44,965,31545,64,61,233.41,16,,,,
1629154413.233,0,19,1,31261,1249,34,32,46.1,16,,,,
1632286937.003,0,0,0,28408,4102,33,31,38.25,16,1230.0,877.0,1110.0,250.0
1632286763.788,0,0,0,28426,4084,33,31,38.3,16,1230.0,877.0,1110.0,250.0
1627656278.024,0,91,15,27931,4579,51,49,212.57,16,,,,
1630314918.135,0,68,4,29347,3163,35,35,45.28,16,,,,
1632286380.049,0,0,0,28408,4102,33,31,38.12,16,1230.0,877.0,1110.0,250.0
1627656563.099,1,97,17,27129,5381,47,47,199.6,16,,,,
1632285839.215,0,0,0,28426,4084,32,30,38.13,16,1230.0,877.0,1110.0,250.0
1629153034.937,0,18,1,31261,1249,34,32,40.71,16,,,,
1629152791.631,0,6,0,31261,1249,34,32,38.92,16,,,,
1631806520.445,0,0,0,1133,31377,37,35,39.31,16,,,,
1629151571.636,0,0,0,31263,1247,34,33,37.74,16,,,,
1629153976.98,0,19,1,31261,1249,34,32,38.96,16,,,,
1632286304.98,0,1,0,28417,4093,33,31,38.21,16,1230.0,877.0,1110.0,250.0
1631806672.929,0,84,49,965,31545,60,61,244.54,16,,,,
1631806680.875,0,100,78,965,31545,58,60,54.5,16,,,,
1627656170.824,1,96,19,27129,5381,49,47,203.35,16,,,,
1629151630.586,0,17,1,31263,1247,34,33,40.3,16,,,,
1630315026.166,0,75,4,29347,3163,35,35,51.53,16,,,,
