timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current,clocks_current_sm_MHz,clocks_current_memory_MHz,clocks_current_video_MHz,power_limit_W
1632601774.239,0,100,18,989,31521,40,40,53.19,16,435.0,877.0,555.0,250.0
1631343967.56,0,0,0,32510,0,27,25,24.59,16,,,,
1630354965.39,0,8,1,29060,3450,33,30,39.87,16,,,,
1631342861.451,0,0,0,32510,0,27,25,24.61,16,,,,
1631344187.813,0,0,0,32510,0,27,26,24.64,16,,,,
1622071836.942,1,97,18,1415,31095,52,50,52.81,16,,,,
1622071834.263,0,98,26,551,31959,55,56,167.79,16,,,,
1632584650.655,1,100,6,991,31519,38,35,60.61,16,435.0,877.0,555.0,250.0
1631734097.584,0,89,21,108,32402,38,38,61.85,16,,,,
1631735869.311,0,90,24,22190,10320,43,45,61.73,16,,,,
1631738840.398,0,87,35,4628,27882,40,40,61.6,16,,,,
1622071619.421,0,99,19,9107,23403,47,45,48.97,16,,,,
1630356096.455,0,8,1,29056,3454,33,30,37.83,16,,,,
1622071533.602,0,0,0,32506,4,37,34,28.21,16,,,,
1632603539.096,0,100,9,989,31521,40,40,56.99,16,435.0,877.0,555.0,250.0
1631742307.704,0,99,53,8486,24024,40,42,60.16,16,,,,
1630353793.863,0,14,1,29064,3446,32,30,39.1,16,,,,
1630354426.651,0,11,1,29060,3450,33,30,40.63,16,,,,
1631737920.552,0,93,9,10958,21552,39,38,61.81,16,,,,
1622071576.062,1,97,24,5831,26679,42,41,49.35,16,,,,
1631345096.207,0,0,0,32510,0,28,26,24.79,16,,,,
1632598652.916,0,100,10,989,31521,40,40,60.37,16,435.0,877.0,555.0,250.0
1622071562.156,0,95,8,13271,19239,41,39,47.15,16,,,,
1631342807.232,0,0,0,32510,0,27,25,24.67,16,,,,
1630360178.737,0,6,1,29050,3460,32,29,37.47,16,,,,
1631736497.249,0,97,24,4706,27804,41,40,56.67,16,,,,
1631342804.302,0,0,0,32510,0,27,25,24.78,16,,,,
1632590936.885,0,100,6,989,31521,38,38,55.6,16,435.0,877.0,555.0,250.0
1631738266.679,0,96,6,13868,18642,39,39,60.85,16,,,,
