timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1631087351.686,0,100,1,687,31823,38,36,47.51,16
1627929145.693,0,94,8,28523,3987,46,42,68.61,16
1628659251.203,1,100,1,20669,11841,41,40,45.39,16
1627927977.173,0,97,13,30039,2471,45,42,95.15,16
1627928879.747,1,94,12,28505,4005,41,38,140.44,16
1631795086.793,1,100,8,12099,20411,49,46,48.55,16
1631795026.974,0,100,2,12099,20411,51,50,228.04,16
1631098780.88,0,100,0,1367,31143,42,40,57.93,16
1628661230.198,1,100,38,20679,11831,42,42,152.08,16
1628660060.408,0,100,1,20669,11841,43,40,47.26,16
1628661441.384,0,100,1,20669,11841,43,41,44.94,16
1631795091.56,1,100,15,12099,20411,50,47,48.26,16
1628661198.625,1,100,1,20669,11841,43,42,45.87,16
1631794796.612,0,100,15,12099,20411,47,46,46.78,16
1631092262.487,0,99,37,2997,29513,44,44,160.47,16
1628659529.726,0,100,1,20669,11841,42,39,45.23,16
1628658904.373,0,0,0,32510,0,30,29,26.02,16
1628660592.798,1,100,1,20669,11841,43,42,45.87,16
1628661379.282,0,100,1,20669,11841,44,43,177.18,16
1631795815.899,0,100,48,12099,20411,56,57,177.2,16
1627928591.612,1,94,9,28797,3713,42,39,51.63,16
1631092781.583,0,100,3,2997,29513,41,39,48.93,16
1631794897.486,1,95,41,12099,20411,50,50,208.1,16
1627928135.334,0,93,10,29639,2871,45,42,145.2,16
1628660515.481,0,94,7,20679,11831,48,48,151.64,16
1628659297.052,1,100,33,20679,11831,40,40,43.73,16
1627929066.184,0,93,10,28523,3987,42,39,98.13,16
1631082765.789,0,0,0,31305,1205,40,38,40.08,16
1628661513.008,1,100,34,20679,11831,41,40,43.74,16
1628660808.508,0,100,26,20679,11831,47,47,45.88,16
1628660852.756,0,100,37,20669,11841,45,44,152.99,16
1627927981.235,0,93,8,30039,2471,43,41,52.91,16
1631092424.16,1,100,0,2793,29717,38,36,45.71,16
1631795004.643,1,100,1,12099,20411,48,45,48.74,16
