timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current,clocks_current_sm_MHz,clocks_current_memory_MHz,clocks_current_video_MHz,power_limit_W
1632417177.9,0,86,55,29727,2783,49,49,130.3,16,1380.0,877.0,1237.0,200.0
1631427311.633,0,93,43,11781,20729,49,49,154.53,16,,,,
1630972486.463,0,20,0,31086,1424,37,35,39.1,16,,,,
1631420997.303,0,97,47,11781,20729,50,50,135.01,16,,,,
1631435813.368,0,63,24,11781,20729,52,52,50.42,16,,,,
1623660373.132,0,0,0,32510,0,42,40,46.8,16,,,,
1623662684.713,0,11,2,29052,3458,44,42,50.32,16,,,,
1632417396.377,0,88,55,29727,2783,51,51,156.49,16,1380.0,877.0,1237.0,200.0
1616324314.448,0,0,0,84,32426,35,33,36.07,16,,,,
1616346058.668,0,0,0,84,32426,38,36,36.81,16,,,,
1616355037.971,0,0,0,84,32426,37,35,36.8,16,,,,
1623661381.262,0,15,2,29052,3458,43,41,52.28,16,,,,
1630977888.515,0,31,3,31086,1424,37,35,48.29,16,,,,
1623660633.989,0,0,0,32053,457,42,40,46.8,16,,,,
1632417110.552,0,11,7,29727,2783,48,47,49.0,16,1380.0,877.0,1237.0,200.0
1616338108.185,0,0,0,84,32426,38,36,36.88,16,,,,
1630971765.844,0,20,0,31086,1424,38,36,39.49,16,,,,
1630965893.591,0,26,3,31086,1424,39,37,46.88,16,,,,
1616318538.632,0,0,0,84,32426,33,32,35.95,16,,,,
1623663872.009,0,0,0,29048,3462,44,42,47.18,16,,,,
1631421682.085,0,96,46,11781,20729,51,51,118.74,16,,,,
1632416938.184,0,88,55,29727,2783,47,47,135.76,16,1380.0,877.0,1237.0,200.0
1623662023.595,0,12,2,29054,3456,43,42,52.36,16,,,,
1631429156.754,0,97,47,11781,20729,53,54,105.84,16,,,,
1630966030.149,0,20,0,31086,1424,39,37,39.59,16,,,,
1616304830.217,0,0,0,84,32426,34,32,36.08,16,,,,
1631435553.494,0,67,32,11781,20729,51,53,47.85,16,,,,
1632417661.443,0,90,56,29727,2783,51,51,150.51,16,1380.0,877.0,1237.0,200.0
1616264053.324,0,0,0,84,32426,35,33,36.18,16,,,,
1630972626.429,0,28,3,31086,1424,38,35,44.28,16,,,,
1616330556.247,0,0,0,84,32426,36,34,36.45,16,,,,
