timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1623198588.346,0,6,0,30690,1820,36,34,38.96,16
1629999145.8,0,0,0,32510,0,27,26,25.43,16
1621679505.919,0,22,1,29054,3456,37,35,39.56,16
1629999330.199,0,0,0,32510,0,27,26,25.45,16
1629999345.328,0,0,0,3219,29291,27,26,37.59,16
1625082385.144,0,93,80,25415,7095,68,80,186.45,16
1625029622.429,0,93,79,25415,7095,69,80,193.26,16
1623183720.997,0,7,0,30690,1820,37,35,38.13,16
1626620928.216,0,14,4,8367,24143,38,35,52.62,16
1626628416.183,0,13,3,8367,24143,37,34,52.36,16
1626633471.124,0,0,0,8367,24143,34,31,38.85,16
1625017857.064,0,79,65,25415,7095,68,78,179.28,16
1621693380.582,0,26,5,29050,3460,39,38,44.97,16
1625108267.945,0,93,80,25415,7095,69,80,147.7,16
1623192921.135,0,7,0,30690,1820,35,33,38.12,16
1626629819.596,0,13,3,8367,24143,37,34,52.71,16
1621669188.19,0,23,1,29056,3454,38,36,40.02,16
1621708307.886,0,21,7,29044,3466,39,37,40.42,16
1626631535.552,0,14,0,8367,24143,35,32,43.66,16
1625054543.187,0,91,78,25415,7095,68,79,183.57,16
1629999312.66,0,0,0,32510,0,27,25,25.37,16
1623181348.416,0,7,0,30690,1820,37,35,38.97,16
1625088790.809,0,93,79,25415,7095,69,81,201.52,16
1629999311.704,0,0,0,32510,0,27,26,25.51,16
1621706391.803,0,21,7,29046,3464,39,37,40.03,16
1626634766.854,0,4,1,8367,24143,38,35,48.0,16
1629999374.186,0,12,6,2805,29705,29,27,38.16,16
1623192627.566,0,7,0,30690,1820,35,33,38.42,16
1626641224.104,0,8,2,8367,24143,43,40,52.99,16
1621672022.7,0,23,2,29056,3454,40,38,40.49,16
1626642930.698,0,8,2,8367,24143,43,40,52.46,16
1629999275.269,0,0,0,32510,0,27,26,25.43,16
1623177312.643,0,7,0,30692,1818,37,35,40.15,16
1625083729.823,0,93,80,25415,7095,69,82,172.6,16
1623183008.894,0,7,0,30690,1820,37,35,39.73,16
1626635329.031,0,0,0,8367,24143,36,34,38.63,16
1621691580.549,0,22,5,29050,3460,38,36,40.32,16
1621695207.743,0,22,6,29048,3462,39,37,39.89,16
1625086584.98,0,93,80,25415,7095,69,79,189.96,16
1626625833.035,0,93,48,8367,24143,40,40,127.1,16
1629999131.764,0,0,0,32510,0,27,26,25.58,16
1625108196.585,0,92,79,25415,7095,67,77,169.74,16
1626626972.29,0,13,4,8367,24143,36,33,52.56,16
1623180292.976,0,7,0,30690,1820,37,35,38.92,16
1625041382.733,0,93,80,25415,7095,68,80,180.52,16
1626630381.709,0,77,53,8367,24143,38,37,184.65,16
1623185469.489,0,7,0,30690,1820,38,36,39.0,16
1625040673.946,0,93,79,25415,7095,69,81,198.33,16
1621713906.506,0,23,1,29044,3466,38,37,38.58,16
1626633672.697,0,0,0,8367,24143,35,32,43.53,16
1625081689.533,0,92,77,25415,7095,69,81,177.7,16
1626640462.771,0,12,3,8367,24143,38,35,52.04,16
1626636125.411,0,11,3,8367,24143,37,34,52.05,16
1625073926.332,0,93,80,25415,7095,67,79,180.95,16
1626637593.45,0,10,3,8367,24143,36,33,50.46,16
1621691324.607,0,22,5,29050,3460,38,36,39.65,16
1626641753.768,0,9,2,8367,24143,40,37,53.89,16
1621720128.149,0,20,9,29042,3468,40,39,40.69,16
1625102392.806,0,93,80,25415,7095,70,82,173.3,16
1623198321.583,0,7,0,30690,1820,35,33,39.16,16
1629999284.211,0,0,0,32510,0,27,26,25.35,16
1623184935.084,0,7,0,30690,1820,38,35,38.83,16
1629999262.99,0,0,0,32510,0,27,26,25.49,16
1629999390.524,0,11,6,2805,29705,29,29,38.61,16
1629999092.202,0,0,0,32510,0,27,26,25.63,16
1621672614.761,0,23,1,29056,3454,40,38,40.1,16
1629999395.702,0,10,6,2805,29705,29,28,38.37,16
1621709618.455,0,21,7,29044,3466,39,37,40.13,16
1621681146.581,0,21,3,29054,3456,37,36,38.06,16
1623190339.983,0,7,0,30690,1820,35,33,39.36,16
1621701104.054,0,21,6,29048,3462,38,36,40.05,16
1629999257.95,0,0,0,32510,0,27,26,25.54,16
1629999129.134,0,0,0,32510,0,27,26,25.42,16
1629999267.817,0,0,0,32510,0,27,26,25.45,16
1623197261.728,0,7,0,30690,1820,34,32,37.91,16
1629999413.505,0,0,0,32510,0,28,27,26.26,16
1621710501.344,0,21,7,29044,3466,39,37,40.13,16
1625091347.336,0,93,79,25415,7095,69,81,196.74,16
1623207139.752,0,7,0,30690,1820,35,32,38.91,16
1629999212.478,0,0,0,32510,0,27,26,25.54,16
1621713182.211,0,23,8,29044,3466,39,37,40.23,16
1623194210.819,0,7,0,30690,1820,35,32,38.13,16
1625054066.148,0,85,71,25415,7095,69,79,180.27,16
1625089236.362,0,93,79,25415,7095,69,81,177.78,16
1626638012.225,0,12,3,8367,24143,35,32,51.11,16
1629999252.387,0,0,0,32510,0,27,26,25.51,16
1625069489.176,0,93,79,25415,7095,68,80,169.35,16
1626621095.945,0,94,48,8367,24143,41,40,168.29,16
1625019985.533,0,93,79,25415,7095,69,81,194.15,16
1623183431.437,0,7,0,30690,1820,37,35,39.66,16
1623179742.52,0,7,0,30690,1820,37,35,39.87,16
1621678481.325,0,22,3,29054,3456,38,37,39.62,16
1623186635.845,0,7,0,30690,1820,35,33,38.31,16
1623185553.459,0,7,0,30690,1820,37,35,38.69,16
1625104464.984,0,92,78,25415,7095,69,81,198.05,16
1621669662.105,0,23,1,29058,3452,38,37,49.01,16
1621690365.385,0,22,5,29050,3460,38,36,39.64,16
1626623038.892,0,8,2,8367,24143,37,34,53.91,16
1623192521.876,0,7,0,30690,1820,35,33,38.99,16
1629999330.826,0,0,0,32510,0,27,26,25.43,16
