timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1618128439.621,0,58,24,22765,9745,64,64,239.52,16
1625663440.81,0,0,0,32506,4,41,40,43.96,16
1622286018.069,0,100,49,1485,31025,65,69,141.23,16
1625630736.963,0,0,0,32506,4,37,37,43.06,16
1625633365.505,0,0,0,32506,4,36,36,42.7,16
1624395320.163,0,99,31,1407,31103,69,67,273.12,16
1624394580.486,1,100,77,1407,31103,62,63,189.76,16
1618110294.562,0,0,0,22765,9745,56,55,49.01,16
1621793214.486,0,0,0,31802,708,32,30,36.7,16
1621793239.049,0,0,0,31802,708,32,31,36.69,16
1621793609.276,0,63,18,31674,836,47,46,109.92,16
1624395581.552,1,100,29,1407,31103,62,62,193.02,16
1622289659.89,0,100,68,1485,31025,70,75,215.38,16
1624399346.641,1,100,78,1407,31103,61,64,235.71,16
1618103062.94,0,0,0,22765,9745,44,43,45.81,16
1621793147.491,0,0,0,31802,708,31,29,36.47,16
1622291129.623,0,100,59,1485,31025,69,73,225.62,16
1622290603.64,0,100,67,1485,31025,68,71,231.81,16
1621793488.585,0,61,18,31674,836,46,44,62.69,16
1624393523.229,0,100,31,1407,31103,67,68,141.96,16
1625627173.386,0,0,0,32506,4,38,37,43.15,16
1618105694.494,0,94,49,22765,9745,50,51,66.26,16
1624390267.003,0,99,71,1407,31103,69,71,245.72,16
1625631387.173,0,0,0,32506,4,37,36,42.9,16
1622290725.682,0,100,42,1485,31025,66,70,57.32,16
1621793541.234,0,63,19,31674,836,47,45,68.3,16
1625665032.873,0,0,0,32506,4,38,38,43.37,16
1618110674.942,0,0,0,22765,9745,59,58,50.25,16
1621793159.256,0,0,0,31802,708,31,30,36.65,16
1622289441.184,0,100,51,1485,31025,69,75,172.79,16
1621793775.185,0,62,18,31674,836,49,47,82.89,16
1625639712.108,0,0,0,32506,4,38,37,43.22,16
1618143432.949,0,0,0,22765,9745,59,58,50.41,16
1624390891.292,0,100,12,1407,31103,64,63,57.8,16
1618108943.481,0,28,15,22765,9745,54,54,217.47,16
1621793525.435,0,65,19,31674,836,46,45,116.88,16
1622288328.321,0,100,58,1485,31025,71,73,223.46,16
1622290191.745,0,100,54,1485,31025,67,71,212.96,16
1624396946.849,1,99,63,1407,31103,61,62,204.28,16
1621793407.224,0,62,18,31674,836,43,42,118.91,16
1625668804.321,0,0,0,32506,4,33,32,42.0,16
1624394706.886,0,100,37,1407,31103,68,71,145.48,16
1621793750.401,0,64,19,31674,836,48,48,65.77,16
1618119681.559,0,26,15,22765,9745,52,51,203.37,16
1624392130.121,1,99,73,1407,31103,61,62,223.46,16
1621793380.99,0,57,16,31674,836,42,41,111.71,16
1618135896.661,0,99,51,22765,9745,63,63,215.7,16
1624393560.23,1,98,72,1407,31103,60,62,179.16,16
1622287322.342,0,97,86,1485,31025,69,74,241.95,16
1621793226.87,0,0,0,31802,708,32,30,36.79,16
1624392595.785,0,100,56,1407,31103,68,71,173.89,16
1621793608.759,0,64,19,31674,836,48,46,123.08,16
1621793383.571,0,64,19,31674,836,42,41,66.12,16
1624398634.847,1,100,33,1407,31103,60,65,139.24,16
1621793191.257,0,0,0,31802,708,32,30,36.7,16
1622287559.518,0,76,58,1485,31025,68,72,226.96,16
1621793974.797,0,65,19,31674,836,48,48,85.07,16
1622291169.461,0,100,69,1485,31025,67,71,220.62,16
1624391529.699,0,100,79,1407,31103,68,71,73.52,16
1618124328.308,0,0,0,22765,9745,51,50,47.73,16
1625652028.616,0,0,0,32506,4,37,37,43.11,16
1618145642.431,0,0,0,22765,9745,61,61,241.32,16
1625655907.907,0,0,0,32506,4,38,37,43.26,16
1625630200.03,0,0,0,32506,4,37,37,43.04,16
1625644581.55,0,0,0,32506,4,36,35,42.63,16
1622286366.309,0,100,43,1485,31025,69,76,132.73,16
1625640113.692,0,0,0,32506,4,38,38,43.22,16
1622286488.51,0,71,49,1485,31025,68,71,189.73,16
1622291077.111,0,100,73,1485,31025,71,76,230.26,16
1618116758.474,0,0,0,22765,9745,57,56,49.9,16
1622286396.436,0,100,69,1485,31025,69,76,187.7,16
1625672521.92,0,0,0,32506,4,34,34,42.37,16
1625665006.827,0,0,0,32506,4,39,38,43.48,16
1625674670.75,0,0,0,32506,4,34,34,41.79,16
1618134258.029,0,0,0,22765,9745,61,61,51.44,16
1625649354.388,0,0,0,32506,4,37,37,43.1,16
1622288981.151,0,100,50,1485,31025,70,76,147.56,16
1624397083.835,0,99,34,1407,31103,69,67,154.57,16
1618119448.78,0,0,0,22765,9745,49,47,46.6,16
1625661814.231,0,0,0,32506,4,40,40,43.8,16
1622290603.949,0,100,75,1485,31025,67,74,186.11,16
1618128637.311,0,0,0,22765,9745,50,49,47.24,16
1624396718.118,1,98,39,1407,31103,61,61,215.17,16
1624396577.179,1,99,74,1407,31103,60,65,193.01,16
1621793107.831,0,0,0,32510,0,30,29,25.09,16
1625675039.427,0,0,0,32506,4,33,32,41.47,16
1624391313.196,0,99,59,1407,31103,70,68,253.17,16
1621793089.265,0,0,0,32510,0,30,29,25.1,16
1624397056.418,0,99,37,1407,31103,67,70,140.16,16
1618106671.613,0,0,0,22765,9745,51,50,47.5,16
1618144524.136,0,0,0,22765,9745,58,57,49.89,16
1622287803.835,0,0,0,1485,31025,60,61,51.4,16
1618105270.234,0,0,0,22765,9745,43,41,45.32,16
1618129700.149,0,0,0,22765,9745,48,47,46.59,16
1624389894.814,0,100,70,1407,31103,69,71,194.66,16
1622288428.342,0,73,40,1485,31025,71,75,232.89,16
1622286371.382,0,100,86,1485,31025,68,73,59.05,16
1621793373.553,0,61,18,31674,836,41,40,70.37,16
1618111543.387,0,0,0,22765,9745,56,55,49.34,16
1625662714.296,0,0,0,32506,4,40,40,43.9,16
