timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current,clocks_current_sm_MHz,clocks_current_memory_MHz,clocks_current_video_MHz,power_limit_W
1623968069.87,1,2,0,31211,1299,36,34,38.17,16,,,,
1622158029.68,0,43,20,1439,31071,38,37,67.2,16,,,,
1618754288.003,1,0,0,32510,0,33,32,25.66,16,,,,
1622167907.325,0,44,20,1439,31071,38,37,66.55,16,,,,
1622165997.418,0,45,20,1439,31071,37,35,76.79,16,,,,
1631977861.285,0,38,14,30965,1545,41,41,63.63,16,1380.0,877.0,1237.0,250.0
1631977440.385,0,44,15,30965,1545,42,41,63.07,16,1380.0,877.0,1237.0,250.0
1623997201.531,1,5,1,31211,1299,35,33,37.85,16,,,,
1632947362.275,0,0,0,30507,2003,29,28,42.28,16,1380.0,877.0,1237.0,250.0
1632946032.217,1,0,0,32510,0,23,23,24.39,16,135.0,877.0,555.0,250.0
1632947253.879,1,0,0,32510,0,23,23,24.35,16,135.0,877.0,555.0,250.0
1631979021.615,0,49,18,30965,1545,42,42,66.27,16,1380.0,877.0,1237.0,250.0
1618754467.981,1,0,0,32506,4,33,33,25.67,16,,,,
1631977814.633,0,30,11,30965,1545,41,40,75.04,16,1380.0,877.0,1237.0,250.0
1623967482.763,1,3,0,31211,1299,36,33,37.87,16,,,,
1632947741.088,1,0,0,32510,0,23,23,24.37,16,135.0,877.0,555.0,250.0
1618754163.719,1,0,0,32510,0,32,32,25.55,16,,,,
1618754150.258,1,0,0,32510,0,32,32,25.64,16,,,,
1632946223.417,1,0,0,32510,0,23,23,24.22,16,135.0,877.0,555.0,250.0
1631977194.688,0,45,16,30965,1545,42,42,114.53,16,1380.0,877.0,1237.0,250.0
1622159682.384,0,0,0,1439,31071,33,30,36.16,16,,,,
1623991567.572,1,10,1,31211,1299,35,33,43.99,16,,,,
1631977621.766,0,49,18,30965,1545,42,42,120.38,16,1380.0,877.0,1237.0,250.0
1622161442.244,0,44,20,1439,31071,38,36,64.43,16,,,,
1618754213.912,1,0,0,32510,0,32,32,25.68,16,,,,
1632947449.858,1,0,0,32510,0,23,22,24.36,16,135.0,877.0,555.0,250.0
1622163360.215,0,45,20,1439,31071,37,36,67.13,16,,,,
1623945423.644,1,4,0,31215,1295,42,40,46.58,16,,,,
1632946130.193,1,0,0,32510,0,23,23,24.33,16,135.0,877.0,555.0,250.0
1618754325.373,1,0,0,32510,0,33,32,25.58,16,,,,
1632948028.424,1,0,0,32510,0,23,23,24.46,16,135.0,877.0,555.0,250.0
1622159277.707,0,36,17,1439,31071,37,36,71.78,16,,,,
1623977778.454,1,2,0,31211,1299,36,34,38.15,16,,,,
1631976888.223,0,51,18,30965,1545,42,41,103.68,16,1380.0,877.0,1237.0,250.0
1623977211.061,1,7,1,31211,1299,37,34,40.38,16,,,,
1632946915.881,1,0,0,32510,0,23,23,24.36,16,135.0,877.0,555.0,250.0
1618754333.09,1,0,0,32510,0,33,32,25.58,16,,,,
1618754389.842,1,0,0,32510,0,33,32,25.67,16,,,,
1631977755.978,0,45,16,30965,1545,42,42,73.16,16,1380.0,877.0,1237.0,250.0
1632947988.828,1,0,0,32510,0,23,23,24.36,16,135.0,877.0,555.0,250.0
1622163470.451,0,0,0,1439,31071,34,30,36.38,16,,,,
1631977843.176,0,44,15,30965,1545,41,41,96.93,16,1380.0,877.0,1237.0,250.0
1632946022.149,0,0,0,30507,2003,29,27,42.09,16,1380.0,877.0,1237.0,250.0
1623945511.413,1,1,0,31215,1295,42,40,39.71,16,,,,
1631978476.502,0,50,18,30965,1545,43,43,88.74,16,1380.0,877.0,1237.0,250.0
1632946171.967,0,15,9,30507,2003,29,29,42.35,16,1380.0,877.0,1237.0,250.0
1623996224.468,1,2,0,31211,1299,36,33,38.13,16,,,,
1631976784.415,0,47,16,30965,1545,41,40,103.26,16,1380.0,877.0,1237.0,250.0
1618754119.183,1,0,0,32510,0,33,32,25.68,16,,,,
1632947734.354,0,0,0,30507,2003,29,27,41.97,16,1380.0,877.0,1237.0,250.0
1631976959.921,0,49,18,30965,1545,41,41,75.86,16,1380.0,877.0,1237.0,250.0
1632945999.408,1,0,0,32510,0,23,23,24.36,16,135.0,877.0,555.0,250.0
1632946237.263,0,1,0,30507,2003,29,29,42.72,16,1380.0,877.0,1237.0,250.0
1631978774.47,0,43,15,30965,1545,42,42,63.0,16,1380.0,877.0,1237.0,250.0
1632947306.754,0,0,0,30507,2003,29,28,42.35,16,1380.0,877.0,1237.0,250.0
1618754400.999,1,0,0,32510,0,33,33,25.67,16,,,,
1632946076.259,1,0,0,32510,0,23,23,24.46,16,135.0,877.0,555.0,250.0
1618754300.014,1,0,0,32510,0,32,32,25.66,16,,,,
1631976654.35,0,0,0,32510,0,31,28,26.93,16,135.0,877.0,555.0,250.0
1623979420.966,1,5,1,31211,1299,36,34,38.11,16,,,,
1622162629.31,0,45,20,1439,31071,38,37,70.56,16,,,,
1623977371.99,1,5,1,31211,1299,37,34,38.32,16,,,,
1622167446.846,0,4,0,1439,31071,34,30,36.77,16,,,,
1622165912.275,0,44,20,1439,31071,38,36,61.37,16,,,,
1622163032.206,0,36,16,1439,31071,37,35,60.32,16,,,,
1618754083.812,1,0,0,32510,0,33,32,25.66,16,,,,
1622165466.542,0,0,0,1439,31071,36,33,42.53,16,,,,
1618754359.787,1,0,0,32510,0,33,32,25.57,16,,,,
1618754252.205,1,0,0,32510,0,32,32,25.68,16,,,,
1623971138.575,1,5,1,31211,1299,37,34,42.59,16,,,,
1618754238.837,1,0,0,32510,0,32,32,25.57,16,,,,
1622164935.362,0,44,21,1439,31071,38,36,69.97,16,,,,
1622165125.904,0,46,21,1439,31071,38,37,66.42,16,,,,
1622163887.528,0,46,21,1439,31071,38,36,79.1,16,,,,
1623946017.898,1,4,0,31215,1295,42,40,42.06,16,,,,
1622158419.232,0,44,21,1439,31071,37,36,76.31,16,,,,
1618754086.316,1,0,0,32510,0,33,32,25.67,16,,,,
1631977804.013,0,0,0,30965,1545,40,38,44.55,16,1380.0,877.0,1237.0,250.0
1623977191.537,1,9,1,31211,1299,37,34,41.28,16,,,,
1622160939.996,0,0,0,1439,31071,34,31,36.45,16,,,,
1618754185.535,1,0,0,32510,0,32,32,25.67,16,,,,
1623994963.909,1,6,1,31211,1299,36,33,43.47,16,,,,
1631977538.19,0,51,18,30965,1545,42,41,101.01,16,1380.0,877.0,1237.0,250.0
1631978904.357,0,45,16,30965,1545,42,42,112.63,16,1380.0,877.0,1237.0,250.0
1632946811.715,1,0,0,32510,0,23,23,24.31,16,135.0,877.0,555.0,250.0
1622164178.734,0,44,20,1439,31071,38,36,78.78,16,,,,
1631977644.138,0,47,17,30965,1545,42,42,89.13,16,1380.0,877.0,1237.0,250.0
1632947952.782,0,15,9,30507,2003,29,28,42.38,16,1380.0,877.0,1237.0,250.0
1631978585.183,0,45,16,30965,1545,44,43,107.06,16,1380.0,877.0,1237.0,250.0
1623958830.76,1,2,0,31211,1299,41,39,39.76,16,,,,
1623977541.177,1,1,0,31211,1299,36,34,38.23,16,,,,
1618754466.623,1,0,0,32506,4,33,33,25.67,16,,,,
1623966004.756,1,2,0,31211,1299,36,33,38.53,16,,,,
1623982514.541,1,5,1,31211,1299,36,34,38.13,16,,,,
1631978305.742,0,45,15,30965,1545,42,42,73.19,16,1380.0,877.0,1237.0,250.0
1618754255.229,1,0,0,32510,0,32,32,25.68,16,,,,
1618754263.69,1,0,0,32510,0,32,32,25.58,16,,,,
1632947208.702,1,0,0,32510,0,23,23,24.44,16,135.0,877.0,555.0,250.0
1623951867.526,1,2,0,31211,1299,42,40,39.71,16,,,,
