timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1622338061.057,0,0,0,29719,2791,33,33,37.31,16
1622189228.323,0,27,4,1439,31071,39,38,49.11,16
1621089701.669,0,95,59,29145,3365,68,73,216.02,16
1622188803.207,0,26,4,1439,31071,40,38,53.35,16
1622191230.538,0,27,4,1439,31071,41,39,53.91,16
1628029228.475,0,0,0,32506,4,31,31,25.76,16
1628028998.914,1,0,0,32510,0,32,30,42.94,16
1622336790.416,0,0,0,29719,2791,32,32,37.06,16
1622372488.032,0,63,20,30765,1745,52,52,102.7,16
1622372381.818,0,60,18,30765,1745,52,52,104.73,16
1622374533.219,0,63,20,30765,1745,51,51,103.44,16
1628028988.656,1,0,0,32510,0,32,30,42.89,16
1621085980.437,0,96,59,29145,3365,70,75,219.49,16
1628029142.56,0,0,0,32506,4,31,31,26.07,16
1622342464.964,0,0,0,29719,2791,33,33,37.4,16
1622371824.323,0,65,21,30767,1743,47,46,100.79,16
1621089224.854,0,95,59,29145,3365,69,74,212.17,16
1621092550.553,0,95,59,29145,3365,69,74,216.48,16
1622372337.44,0,64,21,30767,1743,52,52,91.0,16
1628029189.685,0,0,0,32506,4,31,31,25.94,16
1622194954.159,0,27,4,1439,31071,40,38,58.62,16
1622337687.459,0,0,0,29719,2791,34,35,41.47,16
1628029183.635,0,0,0,32506,4,31,31,25.85,16
1622190922.907,0,27,4,1439,31071,40,38,49.6,16
1621087144.82,0,96,59,29145,3365,68,73,211.54,16
1622372652.64,0,65,21,30765,1745,52,52,110.99,16
1622196035.438,0,0,0,1439,31071,40,39,45.18,16
1622342060.624,0,0,0,29719,2791,34,33,37.25,16
1622372259.007,0,66,22,30767,1743,52,52,104.0,16
1621092603.387,0,8,5,29145,3365,65,65,54.71,16
1622373375.041,0,62,19,30765,1745,52,52,95.08,16
1622195557.726,0,25,4,1439,31071,40,39,50.36,16
1622342468.997,0,0,0,29719,2791,33,33,37.4,16
1628029038.994,0,0,0,32510,0,31,31,25.73,16
1622337780.67,0,0,0,29719,2791,34,33,37.25,16
1622372684.115,0,65,21,30765,1745,52,52,93.3,16
1621089456.979,0,94,58,29145,3365,69,74,211.0,16
1621087393.815,0,95,59,29145,3365,69,74,208.69,16
1628029074.123,0,0,0,32510,0,31,31,26.2,16
1622373151.502,0,65,21,30765,1745,52,52,104.81,16
1622186799.432,0,0,0,1439,31071,38,36,44.42,16
1628029172.894,0,0,0,32506,4,31,31,25.83,16
1622373098.044,0,63,20,30765,1745,52,52,95.0,16
1622342252.865,0,0,0,29719,2791,34,33,37.32,16
1628029095.104,0,0,0,32506,4,31,31,25.98,16
1622374341.659,0,63,20,30765,1745,51,50,92.23,16
1622339987.192,0,0,0,29719,2791,33,33,37.31,16
1628029248.53,0,0,0,32506,4,31,31,26.04,16
1621088080.718,0,96,59,29145,3365,69,74,211.29,16
1622372443.228,0,63,20,30765,1745,52,52,92.35,16
1628029209.98,1,0,0,31369,1141,33,30,43.04,16
1622374453.547,0,63,20,30765,1745,51,51,118.03,16
1622373171.833,0,62,19,30765,1745,52,52,103.96,16
1628029056.907,1,0,0,32510,0,32,30,42.98,16
1622372001.318,0,66,21,30767,1743,51,51,102.31,16
1621091811.743,0,95,59,29145,3365,68,73,210.14,16
1622374408.441,0,65,21,30765,1745,51,51,102.72,16
1621089474.034,0,95,59,29145,3365,69,74,208.96,16
1628028990.16,1,0,0,32510,0,32,30,42.9,16
1622342503.747,0,0,0,29719,2791,34,33,37.34,16
1622184154.546,0,27,4,1439,31071,38,37,58.76,16
1622341801.346,0,0,0,29719,2791,34,33,37.34,16
1622190380.414,0,25,4,1439,31071,40,39,48.34,16
1622195370.701,0,27,4,1439,31071,40,39,49.58,16
1622194507.088,0,27,4,1439,31071,40,39,50.37,16
1621086260.001,0,96,59,29145,3365,68,73,212.32,16
1622188276.813,0,27,4,1439,31071,40,38,52.65,16
1621085971.972,0,95,58,29145,3365,68,73,208.75,16
1621086217.177,0,95,59,29145,3365,69,73,202.25,16
1622342651.726,0,0,0,29719,2791,34,33,37.43,16
1621089018.657,0,96,59,29145,3365,67,71,211.44,16
1622194595.451,0,27,4,1439,31071,40,39,49.78,16
1622191636.514,0,26,4,1439,31071,40,39,52.96,16
1622186081.183,0,29,4,1439,31071,39,38,55.68,16
1622341435.899,0,0,0,29719,2791,34,33,37.34,16
1622185398.524,0,0,0,1439,31071,38,36,44.53,16
1621087866.898,0,96,59,29145,3365,68,73,59.1,16
1628029195.959,0,0,0,32506,4,31,31,26.1,16
1622343876.827,0,0,0,29719,2791,34,33,37.4,16
1622186893.564,0,25,4,1439,31071,39,38,50.16,16
1621089037.255,0,95,59,29145,3365,67,71,210.37,16
1622343620.748,0,0,0,29719,2791,34,33,37.34,16
1628029158.329,0,0,0,32506,4,31,31,25.85,16
1628029230.019,0,0,0,32506,4,31,31,26.0,16
1622373422.824,0,64,21,30765,1745,52,51,99.5,16
1622187778.821,0,21,3,1439,31071,40,38,51.22,16
1628029192.656,1,23,1,31369,1141,33,31,50.34,16
1622373262.76,0,67,22,30765,1745,52,52,102.09,16
1628029202.683,1,18,1,31369,1141,33,31,43.41,16
1622343849.833,0,0,0,29719,2791,34,33,37.35,16
1622339547.705,0,0,0,29719,2791,34,33,37.25,16
1621092943.564,0,95,58,29145,3365,69,74,219.5,16
1622341872.684,0,5,3,29719,2791,34,34,41.65,16
1622344459.293,0,0,0,29719,2791,34,34,37.34,16
1628029278.494,1,0,0,31369,1141,33,30,42.94,16
1621091746.281,0,95,58,29145,3365,70,74,203.24,16
1621092855.76,0,63,39,29145,3365,68,73,209.77,16
1622373467.929,0,66,22,30765,1745,51,51,102.72,16
1622340149.484,0,0,0,29719,2791,33,33,37.31,16
1622188585.658,0,19,3,1439,31071,40,39,49.39,16
