timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current,clocks_current_sm_MHz,clocks_current_memory_MHz,clocks_current_video_MHz,power_limit_W
1631954433.783,0,63,64,28989,3521,43,49,101.87,16,1380.0,877.0,1237.0,200.0
1631999442.842,0,86,48,1017,31493,66,69,210.07,16,1357.0,877.0,1215.0,250.0
1630422690.793,0,0,0,21851,10659,36,33,36.68,16,,,,
1632001407.144,0,66,35,1017,31493,64,68,209.43,16,1357.0,877.0,1215.0,250.0
1632001209.769,1,78,56,1017,31493,60,62,243.1,16,1380.0,877.0,1237.0,250.0
1622531076.986,0,43,19,1439,31071,43,44,76.77,16,,,,
1622532088.738,0,0,0,1439,31071,38,38,38.48,16,,,,
1631965574.499,0,65,67,28989,3521,45,52,106.56,16,1380.0,877.0,1237.0,200.0
1626377821.061,1,0,0,1921,30589,28,25,36.5,16,,,,
1626378796.995,1,100,28,1377,31133,61,60,202.3,16,,,,
1626378201.666,1,100,39,1377,31133,51,51,211.46,16,,,,
1622532085.438,0,0,0,1439,31071,38,38,38.56,16,,,,
1630420834.662,0,0,0,21851,10659,35,33,36.91,16,,,,
1622530872.11,0,46,21,1439,31071,42,43,70.23,16,,,,
1631980742.347,0,72,74,28989,3521,46,54,117.62,16,1380.0,877.0,1237.0,200.0
1626378540.665,0,100,32,1377,31133,65,62,149.21,16,,,,
1630418594.615,0,0,0,21851,10659,36,33,36.87,16,,,,
1630424547.749,0,0,0,21851,10659,35,33,36.82,16,,,,
1626377640.761,1,0,0,1921,30589,28,25,36.61,16,,,,
1622526305.322,0,42,19,1439,31071,44,44,63.78,16,,,,
1631999280.162,0,62,45,1017,31493,64,65,220.68,16,1380.0,877.0,1237.0,250.0
1631985886.383,0,73,75,28989,3521,45,53,125.34,16,1380.0,877.0,1237.0,200.0
1622529055.364,0,45,21,1439,31071,43,44,79.04,16,,,,
1631998100.893,1,66,37,1017,31493,57,61,90.15,16,1380.0,877.0,1237.0,250.0
1630424563.951,0,0,0,21851,10659,36,33,36.62,16,,,,
1626379264.349,0,100,46,1377,31133,66,64,116.49,16,,,,
1631998570.37,0,100,78,1017,31493,64,69,63.69,16,1372.0,877.0,1230.0,250.0
1631986322.01,0,72,74,28989,3521,45,52,108.97,16,1380.0,877.0,1237.0,200.0
1626377568.734,1,0,0,1921,30589,28,26,36.51,16,,,,
1630417863.793,0,0,0,21851,10659,36,33,36.8,16,,,,
1626378881.019,0,100,36,1377,31133,67,64,227.39,16,,,,
1632001020.475,1,85,55,1017,31493,61,66,197.01,16,1380.0,877.0,1237.0,250.0
1631969736.069,0,63,64,28989,3521,46,52,117.96,16,1380.0,877.0,1237.0,200.0
1622524584.553,0,0,0,1439,31071,42,42,39.67,16,,,,
1631986300.593,0,72,73,28989,3521,45,52,119.51,16,1380.0,877.0,1237.0,200.0
1626377421.211,0,0,0,1921,30589,28,24,36.28,16,,,,
1630418694.67,0,0,0,21851,10659,36,33,37.09,16,,,,
1630424046.065,0,0,0,21851,10659,35,33,36.82,16,,,,
1622524693.426,0,0,0,1439,31071,42,42,39.62,16,,,,
1626378132.468,0,1,0,1805,30705,29,25,36.41,16,,,,
1632001073.129,1,81,48,1017,31493,61,63,216.44,16,1380.0,877.0,1237.0,250.0
1622528993.491,0,0,0,1439,31071,42,42,45.24,16,,,,
1626378085.216,1,0,0,1921,30589,28,26,36.5,16,,,,
1631962220.83,0,64,65,28989,3521,44,51,115.97,16,1380.0,877.0,1237.0,200.0
1622525139.774,0,0,0,1439,31071,41,41,39.35,16,,,,
1626378981.21,1,100,40,1377,31133,60,63,217.39,16,,,,
1631965635.957,0,66,68,28989,3521,45,52,122.84,16,1380.0,877.0,1237.0,200.0
1622523497.667,0,0,0,1439,31071,41,41,44.85,16,,,,
1630424749.522,0,0,0,21851,10659,35,33,36.76,16,,,,
1626378195.26,0,100,27,1377,31133,54,50,213.47,16,,,,
1622523928.87,0,43,20,1439,31071,44,44,66.75,16,,,,
1626377916.029,1,0,0,1921,30589,28,26,36.5,16,,,,
1626378136.313,1,8,0,1523,30987,28,25,36.57,16,,,,
1622524847.716,0,37,16,1439,31071,42,43,61.32,16,,,,
1626377978.135,1,0,0,1921,30589,28,26,36.52,16,,,,
1630419148.877,0,0,0,21851,10659,36,33,37.09,16,,,,
1626379344.514,1,100,39,1377,31133,60,63,152.76,16,,,,
1630422774.645,0,0,0,21851,10659,35,33,36.72,16,,,,
1622528269.658,0,43,20,1439,31071,43,44,74.46,16,,,,
1631956341.064,0,62,63,28989,3521,43,49,126.55,16,1380.0,877.0,1237.0,200.0
1631998728.458,1,82,53,1017,31493,60,64,152.09,16,1380.0,877.0,1237.0,250.0
1631952362.252,0,66,67,28989,3521,41,47,108.06,16,1380.0,877.0,1237.0,200.0
1631998613.906,1,84,48,1017,31493,60,63,169.82,16,1380.0,877.0,1237.0,250.0
1631999827.272,1,64,49,1017,31493,59,61,54.4,16,1380.0,877.0,1237.0,250.0
1631998135.425,0,86,60,1017,31493,64,66,248.25,16,1380.0,877.0,1237.0,250.0
1630425542.801,0,0,0,21851,10659,36,33,36.79,16,,,,
1632000901.077,0,73,48,1017,31493,67,70,207.29,16,1342.0,877.0,1207.0,250.0
1630424803.642,0,0,0,21851,10659,35,33,36.72,16,,,,
1630420424.98,0,0,0,21851,10659,35,32,36.62,16,,,,
1631980188.25,0,71,72,28989,3521,46,54,115.79,16,1380.0,877.0,1237.0,200.0
1630425010.589,0,0,0,21851,10659,36,33,36.87,16,,,,
1632000983.909,1,79,56,1017,31493,62,63,229.32,16,1372.0,877.0,1230.0,250.0
1631996113.475,1,84,55,1017,31493,45,47,205.84,16,1380.0,877.0,1237.0,250.0
1631997708.923,1,100,76,1017,31493,57,59,101.67,16,1380.0,877.0,1237.0,250.0
1631971129.9,0,67,68,28989,3521,46,53,126.94,16,1380.0,877.0,1237.0,200.0
1631996672.746,0,85,59,1017,31493,57,59,224.36,16,1372.0,877.0,1230.0,250.0
1630419643.56,0,0,0,21851,10659,36,33,36.73,16,,,,
1622524648.232,0,0,0,1439,31071,43,42,45.41,16,,,,
1631977279.32,0,66,67,28989,3521,45,52,116.76,16,1380.0,877.0,1237.0,200.0
1631999399.808,0,92,59,1017,31493,66,69,202.63,16,1372.0,877.0,1230.0,250.0
1630417424.454,0,0,0,21851,10659,36,33,36.83,16,,,,
1631952891.164,0,68,69,28989,3521,44,51,114.27,16,1380.0,877.0,1237.0,200.0
1622526106.023,0,43,20,1439,31071,43,44,83.07,16,,,,
1622528706.269,0,43,20,1439,31071,43,44,78.27,16,,,,
1626379718.911,0,100,35,1377,31133,67,64,222.32,16,,,,
1631997136.6,1,74,43,1017,31493,55,58,211.73,16,1380.0,877.0,1237.0,250.0
1622529462.975,0,0,0,1439,31071,38,38,38.48,16,,,,
1626378525.612,1,100,39,1377,31133,61,60,167.98,16,,,,
1622522632.694,0,43,19,1439,31071,43,43,72.26,16,,,,
1631967948.638,0,66,67,28989,3521,45,52,116.78,16,1380.0,877.0,1237.0,200.0
1631978094.007,0,65,66,28989,3521,45,52,113.26,16,1380.0,877.0,1237.0,200.0
