timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current,clocks_current_sm_MHz,clocks_current_memory_MHz,clocks_current_video_MHz,power_limit_W
1631798213.951,0,95,27,20669,11841,52,51,205.63,16,,,,
1632842657.722,0,90,31,31359,1151,59,58,168.45,16,1380.0,877.0,1237.0,200.0
1614733481.977,1,0,0,1439,31071,35,31,37.95,16,,,,
1632850226.035,0,90,31,31359,1151,59,59,170.51,16,1380.0,877.0,1237.0,200.0
1632845645.085,0,89,31,31359,1151,59,58,167.27,16,1380.0,877.0,1237.0,200.0
1617270820.23,0,13,0,203,32307,55,54,51.85,16,,,,
1617248956.148,1,98,80,1725,30785,58,62,58.26,16,,,,
1631796756.188,0,94,40,20669,11841,51,53,187.07,16,,,,
1632826872.245,1,0,0,1801,30709,42,41,46.02,16,1380.0,877.0,1237.0,200.0
1632828980.135,1,0,0,1801,30709,45,43,46.75,16,1380.0,877.0,1237.0,200.0
1632831664.494,0,0,0,32053,457,35,32,38.19,16,1230.0,877.0,1102.0,200.0
1617315687.718,1,64,33,1725,30785,53,52,55.71,16,,,,
1614735168.101,1,30,2,1439,31071,36,32,41.71,16,,,,
1617078817.499,0,26,3,203,32307,54,55,176.89,16,,,,
1631798666.114,0,100,2,20669,11841,50,50,49.28,16,,,,
1632827670.616,1,0,0,1801,30709,43,42,46.31,16,1380.0,877.0,1237.0,200.0
1614739162.89,1,31,2,1439,31071,36,32,45.12,16,,,,
1614733686.566,1,28,2,1439,31071,36,32,41.36,16,,,,
1632828275.786,1,92,56,1801,30709,47,50,174.72,16,1380.0,877.0,1237.0,200.0
1617268704.077,0,44,31,203,32307,57,58,53.05,16,,,,
1632844645.454,0,90,31,31359,1151,56,55,158.64,16,1380.0,877.0,1237.0,200.0
1631798976.8,1,100,1,20679,11831,47,45,46.92,16,,,,
1617284380.03,0,99,84,203,32307,58,61,206.74,16,,,,
1632816070.289,0,89,31,31359,1151,62,62,171.48,16,1380.0,877.0,1237.0,200.0
1614736962.542,1,31,2,1439,31071,36,32,41.89,16,,,,
1632829304.356,0,0,0,32053,457,34,31,37.67,16,1230.0,877.0,1102.0,200.0
1632796643.003,0,90,31,31359,1151,63,63,171.08,16,1380.0,877.0,1237.0,200.0
1631796418.529,1,100,0,30127,2383,34,32,42.89,16,,,,
1632827476.954,0,0,0,32053,457,41,39,39.72,16,1230.0,877.0,1102.0,200.0
1614738998.591,1,0,0,1439,31071,35,31,38.07,16,,,,
1632823434.477,1,0,0,1801,30709,39,37,45.04,16,1380.0,877.0,1237.0,200.0
1632804724.591,0,90,31,31359,1151,63,62,171.47,16,1380.0,877.0,1237.0,200.0
1631798940.395,1,100,41,20679,11831,50,49,65.12,16,,,,
1617305996.506,0,44,15,203,32307,55,55,56.03,16,,,,
1631798055.203,1,100,27,20679,11831,48,46,47.5,16,,,,
1632826630.092,1,5,3,1801,30709,43,42,182.16,16,1380.0,877.0,1237.0,200.0
1614740048.698,1,0,0,1439,31071,36,31,38.08,16,,,,
1614732799.139,1,30,2,1439,31071,36,32,41.47,16,,,,
1617143821.339,1,60,30,1725,30785,55,55,160.44,16,,,,
1632827432.392,1,0,0,1801,30709,43,41,40.02,16,1230.0,877.0,1110.0,200.0
1632821255.231,0,90,31,31359,1151,61,61,171.12,16,1380.0,877.0,1237.0,200.0
1617072746.938,0,11,1,203,32307,53,51,51.17,16,,,,
1632825315.937,0,0,0,32053,457,40,37,39.42,16,1230.0,877.0,1102.0,200.0
1631796829.389,0,100,2,20669,11841,49,49,48.71,16,,,,
1617213465.398,0,17,1,203,32307,56,55,54.22,16,,,,
1632829815.103,0,0,0,32053,457,32,29,37.54,16,1230.0,877.0,1102.0,200.0
1631796417.248,0,100,0,30117,2393,35,33,43.35,16,,,,
1617189750.306,0,0,0,203,32307,41,39,40.18,16,,,,
