timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current,clocks_current_sm_MHz,clocks_current_memory_MHz,clocks_current_video_MHz,power_limit_W
1633070377.281,0,98,38,31235,1275,47,44,158.55,16,1380.0,877.0,1237.0,200.0
1623167067.253,0,0,0,31461,1049,34,32,38.39,16,,,,
1621708568.494,0,100,58,1489,31021,70,69,171.79,16,,,,
1623169015.134,0,30,4,31243,1267,39,37,51.09,16,,,,
1623170162.967,0,26,3,31223,1287,39,37,49.68,16,,,,
1621328662.1,0,18,2,29034,3476,40,37,46.55,16,,,,
1621327807.19,0,17,1,29034,3476,40,37,46.84,16,,,,
1633071407.359,0,98,39,31235,1275,47,44,158.32,16,1380.0,877.0,1237.0,200.0
1615253254.923,0,0,0,32053,457,37,35,37.92,16,,,,
1615252303.295,0,0,0,32053,457,37,35,37.93,16,,,,
1615251644.41,1,76,9,1487,31023,47,46,82.32,16,,,,
1621327069.218,0,19,1,29036,3474,39,36,47.03,16,,,,
1621711418.471,0,98,35,1489,31021,70,68,220.59,16,,,,
1621327287.589,0,12,0,29036,3474,40,36,46.94,16,,,,
1633067351.495,0,98,39,31235,1275,47,44,157.88,16,1380.0,877.0,1237.0,200.0
1615250678.594,1,76,9,1487,31023,47,46,83.73,16,,,,
1621700504.578,0,100,57,1489,31021,68,70,199.14,16,,,,
1621711556.573,0,98,64,1489,31021,70,70,226.82,16,,,,
1615249300.111,1,75,9,1487,31023,47,46,82.57,16,,,,
1621325043.685,0,16,1,29038,3472,38,35,46.46,16,,,,
1623170332.588,0,32,4,31223,1287,40,37,50.34,16,,,,
1633073823.488,0,98,38,31235,1275,47,44,157.8,16,1380.0,877.0,1237.0,200.0
1621325849.205,0,18,1,29036,3474,39,36,47.04,16,,,,
1623170742.308,0,0,0,32510,0,34,32,25.41,16,,,,
1621709334.309,0,100,32,1489,31021,69,70,212.6,16,,,,
1615249095.617,0,0,0,32053,457,37,35,37.74,16,,,,
1623166836.772,0,0,0,30829,1681,35,33,38.2,16,,,,
1633071715.876,0,98,39,31235,1275,47,44,158.63,16,1380.0,877.0,1237.0,200.0
1615252703.341,1,71,8,1487,31023,47,46,83.99,16,,,,
1621711524.166,0,100,56,1489,31021,71,70,239.0,16,,,,
1615248860.284,0,0,0,32053,457,36,34,37.97,16,,,,
1623168228.618,0,33,5,31243,1267,40,37,53.06,16,,,,
1633072525.691,0,98,38,31235,1275,47,44,157.93,16,1380.0,877.0,1237.0,200.0
1621327383.439,0,19,1,29034,3476,39,36,47.13,16,,,,
1633072496.631,0,98,38,31235,1275,47,44,159.51,16,1380.0,877.0,1237.0,200.0
1615252946.943,1,76,9,1487,31023,47,46,80.19,16,,,,
1621709363.75,0,97,46,1489,31021,69,69,142.35,16,,,,
1621704916.344,0,100,57,1489,31021,69,71,192.76,16,,,,
1621324963.517,0,0,0,29038,3472,38,35,43.96,16,,,,
1615253724.984,1,75,9,1487,31023,47,46,80.78,16,,,,
1623167965.213,0,32,4,31245,1265,40,37,51.42,16,,,,
1621324275.685,0,0,0,32053,457,38,34,43.75,16,,,,
1615248656.771,1,76,9,1487,31023,37,36,80.61,16,,,,
1633072335.799,0,98,38,31235,1275,47,44,158.01,16,1380.0,877.0,1237.0,200.0
1621329193.611,0,20,1,29032,3478,40,37,46.83,16,,,,
