timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1615405326.628,1,0,0,32506,4,32,29,27.58,16
1628250854.918,0,0,0,32510,0,39,37,44.8,16
1622383467.231,0,44,16,27457,5053,60,60,113.69,16
1628251938.809,0,46,17,31083,1427,46,46,89.06,16
1628251337.959,0,43,16,31101,1409,47,46,91.21,16
1618290101.892,0,99,66,26543,5967,70,69,240.29,16
1618308039.698,0,98,67,26543,5967,70,69,226.29,16
1615391782.453,1,0,0,32506,4,34,30,27.96,16
1614938862.584,0,0,0,32510,0,31,29,24.74,16
1614941514.999,0,98,44,1431,31079,70,71,206.29,16
1614938860.278,0,0,0,32510,0,31,29,24.81,16
1618295645.682,0,99,67,26543,5967,70,70,222.56,16
1622401238.508,0,0,0,32510,0,34,32,41.15,16
1618284267.291,0,98,65,26543,5967,69,67,228.78,16
1615404075.228,1,0,0,32506,4,33,29,27.79,16
1614949548.148,0,99,57,1431,31079,68,72,202.83,16
1622405585.632,0,0,0,32510,0,34,32,41.15,16
1622382292.365,0,41,14,27457,5053,62,61,142.07,16
1614942562.21,0,99,59,1431,31079,67,70,216.15,16
1618272841.077,0,98,64,26543,5967,68,67,234.83,16
1628252367.329,0,44,16,31083,1427,47,46,99.42,16
1615392096.249,1,0,0,32506,4,34,31,27.99,16
1618319224.479,0,99,67,26543,5967,70,69,235.31,16
1628251516.85,0,44,16,31101,1409,47,47,100.04,16
1622395943.744,0,0,0,32510,0,34,32,41.12,16
1614950419.809,0,99,57,1431,31079,68,71,222.87,16
1628251580.34,0,45,16,31101,1409,47,47,96.49,16
1615399172.085,1,0,0,32506,4,33,29,27.62,16
1614952484.159,0,99,56,1431,31079,69,70,225.86,16
1622394441.827,0,0,0,32510,0,35,34,41.45,16
1614946094.235,0,98,59,1431,31079,66,70,188.0,16
1628251091.156,0,0,0,32510,0,39,37,44.53,16
1615393478.438,1,0,0,32506,4,35,31,28.2,16
1618286452.22,0,98,67,26543,5967,69,68,232.18,16
1615411057.445,1,0,0,32506,4,31,28,27.33,16
1614948334.978,0,98,58,1431,31079,68,72,181.2,16
1622412228.738,0,0,0,32510,0,33,32,40.85,16
1622390272.21,0,0,0,32510,0,34,32,40.98,16
1618298860.283,0,98,66,26543,5967,70,69,235.61,16
1614951419.713,0,99,56,1431,31079,69,72,234.3,16
1628251547.086,0,40,15,31101,1409,47,47,95.4,16
1618298060.639,0,99,66,26543,5967,70,69,222.21,16
1614942276.786,0,97,71,1431,31079,68,72,201.11,16
1615408066.97,1,0,0,32506,4,32,29,27.5,16
1618275688.193,0,98,64,26543,5967,69,67,222.01,16
1614953060.722,0,99,56,1431,31079,69,71,198.59,16
1615402833.103,1,0,0,32506,4,33,30,27.79,16
1618284646.394,0,98,64,26543,5967,69,68,236.65,16
1622381374.009,0,48,17,27457,5053,59,59,115.6,16
1614950021.143,0,97,57,1431,31079,69,70,221.98,16
1618299177.209,0,98,64,26543,5967,69,67,232.09,16
1614939997.529,0,99,67,1431,31079,64,65,221.55,16
1614940129.243,0,99,60,1431,31079,67,70,219.6,16
1618271216.66,0,0,0,32510,0,36,34,25.45,16
1614940877.959,0,99,56,1431,31079,68,71,174.69,16
1622410251.534,0,0,0,32510,0,34,32,41.05,16
1614953169.499,0,98,72,1431,31079,70,70,229.09,16
1622385116.612,0,47,15,27337,5173,47,46,80.74,16
1618314251.271,0,98,64,26543,5967,70,69,219.09,16
1615400482.192,1,0,0,32506,4,32,29,27.69,16
1628251600.276,0,44,16,31101,1409,47,47,98.83,16
1615395089.422,1,0,0,32506,4,33,30,27.85,16
1628250878.677,0,0,0,32510,0,39,37,44.65,16
1628251940.149,0,46,17,31083,1427,46,46,109.96,16
1628250944.608,0,0,0,32510,0,39,37,44.75,16
1622393662.806,0,33,13,29343,3167,40,38,67.58,16
1628252442.491,0,45,16,31083,1427,47,47,83.19,16
1622382140.575,0,60,19,27457,5053,63,62,126.11,16
1622388136.082,0,0,0,32510,0,35,33,41.34,16
1615400358.751,1,0,0,32506,4,32,29,27.53,16
1622412458.151,0,0,0,32510,0,34,32,40.96,16
1628251244.386,0,46,17,31101,1409,43,42,91.9,16
1628251764.524,0,47,17,31101,1409,47,47,96.04,16
1628251289.317,0,44,16,31101,1409,45,45,92.16,16
1615400365.493,1,0,0,32506,4,32,29,27.68,16
1628251251.614,0,45,16,31101,1409,44,43,97.63,16
1622411869.523,0,0,0,32510,0,33,31,40.87,16
1618312215.493,0,98,66,26543,5967,70,68,235.95,16
1615396156.645,1,0,0,32506,4,33,29,27.58,16
1628252505.173,0,44,16,31083,1427,47,47,87.42,16
1622382536.509,0,54,18,27457,5053,63,63,155.69,16
1615394165.703,1,0,0,32506,4,33,30,27.86,16
1618276781.187,0,98,64,26543,5967,69,68,238.34,16
1618286958.084,0,98,65,26543,5967,69,68,236.17,16
1614952255.862,0,98,48,1431,31079,71,71,227.3,16
1628251882.542,0,0,0,31083,1427,43,41,46.22,16
1618303328.634,0,98,65,26543,5967,70,69,220.35,16
1614943032.136,0,97,51,1431,31079,70,72,206.6,16
1618272640.603,0,99,65,26543,5967,69,67,228.58,16
1615409639.391,1,0,0,32506,4,32,28,27.23,16
1615411222.875,1,0,0,32506,4,31,28,27.23,16
1622408182.893,0,0,0,32510,0,34,32,41.08,16
1615409086.362,1,0,0,32506,4,32,29,27.7,16
1615398213.961,1,0,0,32506,4,32,29,27.52,16
1618297738.296,0,98,66,26543,5967,70,69,238.07,16
1622401547.164,0,0,0,32510,0,34,32,41.09,16
1622403278.447,0,0,0,32510,0,34,32,41.15,16
1614941209.691,0,97,55,1431,31079,69,72,151.32,16
1615391951.645,1,0,0,32506,4,34,31,28.04,16
1628251521.489,0,26,9,31101,1409,47,46,82.15,16
