timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1621608354.867,1,24,5,29044,3466,41,40,44.56,16
1621413062.79,0,99,56,7247,25263,69,74,197.89,16
1628474488.868,1,97,54,1801,30709,57,59,161.34,16
1621412726.996,0,98,56,7397,25113,69,74,195.2,16
1621412968.068,0,99,61,7247,25263,68,74,203.18,16
1616514492.213,0,0,0,32510,0,41,39,28.78,16
1616511350.159,0,0,0,32510,0,41,39,28.94,16
1621628881.176,1,22,8,29036,3474,44,42,42.89,16
1621907314.638,0,0,0,876,31634,60,60,47.45,16
1621906872.954,0,100,86,1676,30834,69,76,171.25,16
1621906752.285,0,100,73,1676,30834,72,79,219.12,16
1616523275.038,0,0,0,32510,0,40,38,28.5,16
1628499207.594,1,97,54,1801,30709,57,58,155.25,16
1616511099.252,0,0,0,32510,0,40,38,28.8,16
1621596996.553,1,24,2,29048,3462,36,34,43.07,16
1621907045.841,0,100,66,160,32350,68,73,189.34,16
1628487491.938,0,0,0,32051,459,38,34,41.41,16
1628493395.104,0,0,0,32051,459,38,34,41.6,16
1621906942.828,0,100,63,1676,30834,68,76,162.6,16
1616511351.931,0,0,0,32510,0,41,39,29.1,16
1621412074.138,0,0,0,32510,0,54,53,48.31,16
1621612580.435,1,24,6,29042,3468,41,40,44.98,16
1616508242.299,0,0,0,32510,0,40,38,28.77,16
1621412344.377,0,99,53,7397,25113,69,74,195.57,16
1628485953.184,0,0,0,32051,459,38,35,41.61,16
1621906835.168,0,100,80,1676,30834,69,76,240.15,16
1621412350.069,0,99,53,7397,25113,68,73,204.22,16
1621632079.998,1,24,1,29034,3476,43,42,47.25,16
1621906846.715,0,100,73,1676,30834,69,76,236.2,16
1628483232.199,0,0,0,32051,459,41,38,42.45,16
1621907309.239,0,0,0,876,31634,63,63,55.48,16
1621412916.42,0,99,59,7297,25213,69,75,200.21,16
1621597938.647,1,25,2,29048,3462,36,34,46.54,16
1616514179.996,0,0,0,32510,0,41,39,28.82,16
1621596282.364,1,0,0,29048,3462,35,33,39.59,16
1621906567.778,0,46,30,9020,23490,47,47,47.35,16
1628473562.616,0,0,0,32051,459,41,37,41.8,16
1628484389.037,1,98,54,1801,30709,58,59,148.6,16
1616503898.239,0,0,0,32510,0,40,38,28.51,16
1621906483.011,0,0,0,32483,27,55,54,51.56,16
1621413019.185,0,99,59,7247,25263,68,74,201.57,16
1616528197.311,0,0,0,32510,0,40,39,28.74,16
1621906558.598,0,0,0,14278,18232,45,43,47.32,16
1621604569.094,1,22,4,29046,3464,43,42,85.03,16
1616509780.29,0,0,0,32510,0,41,39,28.97,16
1621906973.149,0,100,82,1498,31012,70,75,133.55,16
1621611502.881,1,24,5,29042,3468,41,39,44.37,16
1616523273.37,0,0,0,32510,0,40,38,28.49,16
1628473628.378,1,100,53,1801,30709,59,61,174.2,16
1621907188.832,0,19,0,158,32352,66,66,54.52,16
1616520570.512,0,0,0,32510,0,40,39,28.72,16
1621906720.075,0,35,1,1676,30834,70,73,177.26,16
1621906720.488,0,98,69,1676,30834,72,77,217.4,16
1616528154.728,0,0,0,32510,0,40,39,28.65,16
1621906646.908,0,100,88,6116,26394,65,72,252.21,16
1628470873.516,0,0,0,32051,459,41,38,41.77,16
1621907171.349,0,0,0,158,32352,66,66,52.28,16
1628489563.87,0,0,0,32051,459,40,36,41.98,16
1616527688.099,0,0,0,32510,0,40,38,28.52,16
1621609311.654,1,24,5,29044,3466,42,40,41.76,16
1621412329.194,0,99,58,7497,25013,69,75,202.84,16
1621605981.7,1,24,4,29044,3466,41,40,45.13,16
1621412161.713,0,0,0,24519,7991,47,44,40.25,16
1621412481.738,0,99,51,7397,25113,69,73,203.85,16
1621412335.286,0,99,59,7497,25013,69,75,205.31,16
1628500454.347,0,0,0,32051,459,39,35,41.79,16
1621412334.873,0,99,58,7497,25013,69,75,202.51,16
1628478630.327,0,0,0,32051,459,38,35,41.06,16
1628502786.239,0,0,0,32051,459,39,35,41.8,16
1621631228.842,1,32,9,29034,3476,43,41,41.34,16
1628475143.037,1,95,57,1801,30709,57,58,170.38,16
1621412102.653,0,0,0,32510,0,49,48,29.4,16
1621412480.605,0,99,62,7397,25113,68,74,202.66,16
1621412763.697,0,80,49,7297,25213,67,74,192.1,16
1621624439.537,1,23,8,29036,3474,42,41,42.14,16
1621412885.022,0,99,51,7297,25213,70,74,205.64,16
1628472897.534,0,0,0,32051,459,41,37,41.96,16
1616526997.626,0,0,0,32510,0,40,38,28.4,16
1621630399.517,1,22,1,29034,3476,43,41,41.63,16
1621412669.698,0,98,52,7397,25113,69,73,207.49,16
1628471723.693,0,0,0,32051,459,41,38,41.98,16
1621622119.232,1,18,2,29038,3472,42,39,92.4,16
1616508168.553,0,0,0,32510,0,40,38,28.74,16
1616511445.511,0,0,0,32510,0,40,38,28.84,16
1621906975.379,0,100,69,1498,31012,69,75,184.2,16
1621412787.583,0,98,53,7297,25213,69,74,199.49,16
1616511888.359,0,0,0,32510,0,40,38,28.83,16
1621906487.044,0,0,0,32483,27,54,53,51.09,16
1616504213.514,0,0,0,32510,0,40,38,28.68,16
1621602291.779,1,25,3,29046,3464,38,36,59.84,16
1621627700.568,1,19,1,29036,3474,44,44,46.02,16
1628504171.497,0,0,0,32051,459,39,35,41.76,16
1621612758.024,1,24,6,29042,3468,41,39,41.3,16
1621606438.903,1,24,4,29044,3466,40,38,42.24,16
1616526981.245,0,0,0,32510,0,40,38,28.67,16
1628497405.767,0,0,0,32051,459,41,37,42.41,16
1628487055.195,0,0,0,32051,459,38,34,41.76,16
1621906930.297,0,98,82,1676,30834,69,77,239.05,16
1621622391.285,1,25,7,29038,3472,41,39,40.95,16
1621412248.522,0,99,56,7647,24863,70,75,158.14,16
