timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current,clocks_current_sm_MHz,clocks_current_memory_MHz,clocks_current_video_MHz,power_limit_W
1631275141.96,0,47,18,29977,2533,41,40,63.26,16,,,,
1622210521.127,0,0,0,1439,31071,47,45,46.05,16,,,,
1632234792.997,1,91,35,31235,1275,59,60,165.74,16,1380.0,877.0,1237.0,200.0
1622208408.257,0,41,13,1439,31071,46,44,60.24,16,,,,
1622213895.48,0,16,2,1439,31071,45,43,39.84,16,,,,
1627989074.217,0,37,19,12159,20351,44,52,151.28,16,,,,
1627987554.338,0,0,0,31351,1159,31,31,36.41,16,,,,
1631267525.425,0,45,16,29989,2521,39,39,83.02,16,,,,
1628611147.619,0,10,8,6833,25677,39,36,44.56,16,,,,
1628610762.62,1,5,4,9537,22973,38,36,100.85,16,,,,
1628611405.435,1,65,28,6735,25775,36,34,48.8,16,,,,
1627988769.661,0,76,67,12159,20351,44,52,141.6,16,,,,
1632244872.178,1,91,35,31235,1275,52,53,148.93,16,1380.0,877.0,1237.0,200.0
1627987468.817,0,0,0,31351,1159,31,31,36.39,16,,,,
1631285758.693,0,50,20,29977,2533,42,42,77.12,16,,,,
1628610748.855,0,0,0,15097,17413,38,35,43.9,16,,,,
1632242891.034,1,91,36,31235,1275,52,53,161.47,16,1380.0,877.0,1237.0,200.0
1632239175.027,1,91,36,31235,1275,54,56,159.71,16,1380.0,877.0,1237.0,200.0
1628611202.805,1,0,0,6735,25775,36,34,118.07,16,,,,
1627986562.601,0,0,0,32510,0,29,28,26.42,16,,,,
1622210316.02,0,0,0,1439,31071,47,45,45.94,16,,,,
1631268572.155,0,51,21,29989,2521,39,39,75.99,16,,,,
1627988301.482,0,67,53,12159,20351,44,51,127.93,16,,,,
1622208862.282,0,0,0,1439,31071,46,44,40.21,16,,,,
1632242544.929,1,91,36,31235,1275,52,53,162.11,16,1380.0,877.0,1237.0,200.0
1628611612.846,1,32,0,6735,25775,35,33,43.43,16,,,,
1622209693.23,0,0,0,1439,31071,47,45,46.03,16,,,,
1631280168.425,0,44,18,29977,2533,41,40,60.74,16,,,,
1628611494.901,0,37,8,6833,25677,39,35,44.31,16,,,,
1632238919.6,1,91,36,31235,1275,58,59,164.22,16,1380.0,877.0,1237.0,200.0
