timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1617670979.988,0,0,0,31421,1089,41,39,40.37,16
1626859183.901,1,100,29,1377,31133,65,64,186.86,16
1629871407.155,0,27,2,30698,1812,30,27,42.19,16
1626787687.36,0,99,31,1449,31061,70,71,235.78,16
1626879209.149,1,97,41,1377,31133,65,65,211.36,16
1631127675.802,0,0,0,32510,0,27,26,26.01,16
1631127140.127,0,0,0,32510,0,28,26,26.07,16
1617670944.332,0,2,0,31421,1089,41,39,40.65,16
1623714856.94,0,72,28,30587,1923,65,65,150.34,16
1623715240.887,0,0,0,30587,1923,61,62,53.02,16
1623714454.719,0,74,28,30587,1923,65,65,137.12,16
1631127749.399,0,0,0,32510,0,27,25,25.89,16
1629862739.719,0,27,2,30698,1812,31,28,42.31,16
1631127926.283,0,0,0,32510,0,27,26,25.92,16
1617670719.795,0,0,0,32506,4,40,39,27.82,16
1623715612.966,0,71,28,30543,1967,65,65,124.5,16
1629858462.001,0,22,1,30698,1812,31,28,41.45,16
1629884358.069,0,27,2,30698,1812,31,28,41.87,16
1623715222.929,0,70,27,30587,1923,64,64,142.75,16
1631127928.889,0,0,0,32510,0,27,26,25.91,16
1626819812.928,1,100,34,1377,31133,66,66,147.61,16
1617671045.999,0,2,0,31421,1089,41,39,40.63,16
1631128453.298,0,0,0,32510,0,26,25,25.93,16
1626844773.94,1,100,35,1377,31133,65,64,226.46,16
1629862671.654,0,27,2,30698,1812,31,28,41.83,16
1623713914.065,0,30,11,30609,1901,63,63,134.49,16
1626957890.919,1,100,42,1377,31133,64,64,205.62,16
1617671317.777,0,2,0,31421,1089,42,40,40.91,16
1623713790.232,0,46,17,30609,1901,61,62,53.0,16
1629863977.75,0,28,2,30698,1812,31,28,41.97,16
1623715559.694,0,0,0,30543,1967,62,63,65.46,16
1626882937.953,0,100,38,1449,31061,68,71,256.25,16
1617671015.525,0,2,0,31421,1089,41,39,40.82,16
1631128277.175,0,0,0,32510,0,26,25,25.86,16
1617670796.695,0,13,0,31421,1089,40,38,41.76,16
1623716277.668,0,16,6,30543,1967,62,62,129.01,16
1629856843.384,0,23,1,30700,1810,31,28,41.72,16
1629884596.11,0,27,2,30698,1812,31,28,41.53,16
